time,nph_area
1979-11-01T00:00:00Z,3.8084264
1979-12-01T00:00:00Z,0.12779294
1980-01-01T00:00:00Z,0.0
1980-02-01T00:00:00Z,0.011395124
1980-03-01T00:00:00Z,6.610723
1980-04-01T00:00:00Z,4.7456374
1980-05-01T00:00:00Z,6.2882204
1980-06-01T00:00:00Z,6.4238
1980-07-01T00:00:00Z,5.1267734
1980-08-01T00:00:00Z,4.3545237
1980-09-01T00:00:00Z,2.991049
1980-10-01T00:00:00Z,1.8626549
1980-11-01T00:00:00Z,3.0716028
1980-12-01T00:00:00Z,0.7699292
1981-01-01T00:00:00Z,0.021996265
1981-02-01T00:00:00Z,0.80499697
1981-03-01T00:00:00Z,4.3694057
1981-04-01T00:00:00Z,6.2382874
1981-05-01T00:00:00Z,4.423201
1981-06-01T00:00:00Z,4.9901905
1981-07-01T00:00:00Z,4.8785224
1981-08-01T00:00:00Z,4.0286403
1981-09-01T00:00:00Z,1.5954019
1981-10-01T00:00:00Z,2.3986685
1981-11-01T00:00:00Z,1.0416064
1981-12-01T00:00:00Z,1.6246369
1982-01-01T00:00:00Z,3.5365567
1982-02-01T00:00:00Z,0.9689849
1982-03-01T00:00:00Z,2.5225039
1982-04-01T00:00:00Z,4.1828074
1982-05-01T00:00:00Z,5.566135
1982-06-01T00:00:00Z,1.5967586
1982-07-01T00:00:00Z,4.6620293
1982-08-01T00:00:00Z,5.077075
1982-09-01T00:00:00Z,3.5038252
1982-10-01T00:00:00Z,0.32765773
1982-11-01T00:00:00Z,0.08588247
1982-12-01T00:00:00Z,0.89314836
1983-01-01T00:00:00Z,0.021996265
1983-02-01T00:00:00Z,0.0112273395
1983-03-01T00:00:00Z,0.022625877
1983-04-01T00:00:00Z,4.299894
1983-05-01T00:00:00Z,6.0881367
1983-06-01T00:00:00Z,5.5320373
1983-07-01T00:00:00Z,5.4884925
1983-08-01T00:00:00Z,5.105007
1983-09-01T00:00:00Z,4.0100894
1983-10-01T00:00:00Z,1.9729327
1983-11-01T00:00:00Z,1.2883205
1983-12-01T00:00:00Z,0.13117872
1984-01-01T00:00:00Z,4.325698
1984-02-01T00:00:00Z,3.0230238
1984-03-01T00:00:00Z,2.769206
1984-04-01T00:00:00Z,6.812149
1984-05-01T00:00:00Z,5.8119245
