time,biomass_anomaly
2009-04-01T00:00:00Z,0.50815
2009-05-01T00:00:00Z,0.5923684
2009-06-01T00:00:00Z,0.12193399
2009-07-01T00:00:00Z,0.10242576
2009-08-01T00:00:00Z,0.18975423
2009-09-01T00:00:00Z,-0.3062026
2009-10-01T00:00:00Z,-0.2490671
2009-11-01T00:00:00Z,-0.023927193
2009-12-01T00:00:00Z,0.19845778
2010-02-01T00:00:00Z,-0.6644114
2010-03-01T00:00:00Z,0.040560786
2010-04-01T00:00:00Z,-0.81915
2010-05-01T00:00:00Z,-0.21268713
2010-06-01T00:00:00Z,0.21663955
2010-07-01T00:00:00Z,0.23676743
2010-08-01T00:00:00Z,0.28357646
2010-09-01T00:00:00Z,0.22924739
2010-10-01T00:00:00Z,0.4740829
2010-11-01T00:00:00Z,0.08557281
2011-01-01T00:00:00Z,0.11848205
2011-02-01T00:00:00Z,0.50320524
2011-03-01T00:00:00Z,1.0019941
2011-04-01T00:00:00Z,0.7040333
2011-05-01T00:00:00Z,0.81979066
2011-06-01T00:00:00Z,0.3473562
2011-07-01T00:00:00Z,0.4696591
2011-08-01T00:00:00Z,-0.03124576
2011-09-01T00:00:00Z,0.50291073
2011-10-01T00:00:00Z,0.07101623
2011-11-01T00:00:00Z,0.045789473
2011-12-01T00:00:00Z,0.28045776
2012-01-01T00:00:00Z,0.9730987
2012-02-01T00:00:00Z,1.0134718
2012-03-01T00:00:00Z,0.94529414
2012-04-01T00:00:00Z,-3.66667e-4
2012-05-01T00:00:00Z,0.31183508
2012-06-01T00:00:00Z,0.5254784
2012-07-01T00:00:00Z,0.46530354
2012-08-01T00:00:00Z,0.4578209
2012-09-01T00:00:00Z,0.14157517
2012-10-01T00:00:00Z,-0.15558377
2012-11-01T00:00:00Z,-0.2878272
2012-12-01T00:00:00Z,-0.15657556
2013-01-01T00:00:00Z,0.11126538
2013-02-01T00:00:00Z,0.17073856
2013-03-01T00:00:00Z,0.7272691
2013-04-01T00:00:00Z,0.7568167
2013-05-01T00:00:00Z,0.7156907
2013-06-01T00:00:00Z,0.4554673
2013-07-01T00:00:00Z,-0.09037424
2013-08-01T00:00:00Z,0.26858756
2013-09-01T00:00:00Z,-0.036985938
2013-10-01T00:00:00Z,-0.11998377
2013-11-01T00:00:00Z,0.27485615
2013-12-01T00:00:00Z,-0.12520888
2014-01-01T00:00:00Z,0.22526538
2014-02-01T00:00:00Z,0.54925525
2014-04-01T00:00:00Z,0.42258334
2014-05-01T00:00:00Z,0.5772073
2014-06-01T00:00:00Z,0.119356215
2014-07-01T00:00:00Z,0.23957576
2014-08-01T00:00:00Z,0.24180424
2014-09-01T00:00:00Z,0.059952952
2014-10-01T00:00:00Z,-0.6028171
2014-11-01T00:00:00Z,-0.9396772
