time,sea_level,std_error,station,latitude,longitude,depth
1900-01-15T00:00:00Z,2663.4517,0.0,SanFran,37.8,122.5,NaN
1900-02-15T00:00:00Z,2577.5713,0.0,SanFran,37.8,122.5,NaN
1900-03-15T00:00:00Z,2594.484,0.0,SanFran,37.8,122.5,NaN
1900-04-15T00:00:00Z,2512.5332,0.0,SanFran,37.8,122.5,NaN
1900-05-15T00:00:00Z,2533.4517,0.0,SanFran,37.8,122.5,NaN
1900-06-15T00:00:00Z,2589.2,0.0,SanFran,37.8,122.5,NaN
1900-07-15T00:00:00Z,2611.129,0.0,SanFran,37.8,122.5,NaN
1900-08-15T00:00:00Z,2626.1614,0.0,SanFran,37.8,122.5,NaN
1900-09-15T00:00:00Z,2625.0,0.0,SanFran,37.8,122.5,NaN
1900-10-15T00:00:00Z,2612.742,0.0,SanFran,37.8,122.5,NaN
1900-11-15T00:00:00Z,2603.5,0.0,SanFran,37.8,122.5,NaN
1900-12-15T00:00:00Z,2628.871,0.0,SanFran,37.8,122.5,NaN
1901-01-15T00:00:00Z,2698.0967,0.0,SanFran,37.8,122.5,NaN
1901-02-15T00:00:00Z,2704.1428,0.0,SanFran,37.8,122.5,NaN
1901-03-15T00:00:00Z,2570.7742,0.0,SanFran,37.8,122.5,NaN
1901-04-15T00:00:00Z,2466.0667,0.0,SanFran,37.8,122.5,NaN
1901-05-15T00:00:00Z,2534.8064,0.0,SanFran,37.8,122.5,NaN
1901-06-15T00:00:00Z,2534.6333,0.0,SanFran,37.8,122.5,NaN
1901-07-15T00:00:00Z,2576.484,0.0,SanFran,37.8,122.5,NaN
1901-08-15T00:00:00Z,2609.9678,0.0,SanFran,37.8,122.5,NaN
1901-09-15T00:00:00Z,2617.9333,0.0,SanFran,37.8,122.5,NaN
1901-10-15T00:00:00Z,2580.9033,0.0,SanFran,37.8,122.5,NaN
1901-11-15T00:00:00Z,2594.2334,0.0,SanFran,37.8,122.5,NaN
1901-12-15T00:00:00Z,2547.3225,0.0,SanFran,37.8,122.5,NaN
1902-01-15T00:00:00Z,2546.742,0.0,SanFran,37.8,122.5,NaN
1902-02-15T00:00:00Z,2605.4287,0.0,SanFran,37.8,122.5,NaN
1902-03-15T00:00:00Z,2580.7097,0.0,SanFran,37.8,122.5,NaN
1902-04-15T00:00:00Z,2509.9,0.0,SanFran,37.8,122.5,NaN
1902-05-15T00:00:00Z,2524.5806,0.0,SanFran,37.8,122.5,NaN
1902-06-15T00:00:00Z,2570.9668,0.0,SanFran,37.8,122.5,NaN
1902-07-15T00:00:00Z,2619.8064,0.0,SanFran,37.8,122.5,NaN
1902-08-15T00:00:00Z,2635.516,0.0,SanFran,37.8,122.5,NaN
1902-09-15T00:00:00Z,2660.3667,0.0,SanFran,37.8,122.5,NaN
1902-10-15T00:00:00Z,2665.871,0.0,SanFran,37.8,122.5,NaN
1902-11-15T00:00:00Z,2643.8,0.0,SanFran,37.8,122.5,NaN
1902-12-15T00:00:00Z,2644.258,0.0,SanFran,37.8,122.5,NaN
1903-01-15T00:00:00Z,2634.0322,0.0,SanFran,37.8,122.5,NaN
1903-02-15T00:00:00Z,2591.25,0.0,SanFran,37.8,122.5,NaN
