time,percent_diet,diet_species_cohort
2004-01-01T00:00:00Z,0.02,Salmon juveniles (Ce CC Common murre)
2005-01-01T00:00:00Z,0.092,Salmon juveniles (Ce CC Common murre)
2006-01-01T00:00:00Z,0.071,Salmon juveniles (Ce CC Common murre)
2007-01-01T00:00:00Z,0.03,Salmon juveniles (Ce CC Common murre)
2008-01-01T00:00:00Z,0.028,Salmon juveniles (Ce CC Common murre)
2009-01-01T00:00:00Z,0.017,Salmon juveniles (Ce CC Common murre)
2010-01-01T00:00:00Z,0.012,Salmon juveniles (Ce CC Common murre)
2011-01-01T00:00:00Z,0.014,Salmon juveniles (Ce CC Common murre)
2012-01-01T00:00:00Z,0.009,Salmon juveniles (Ce CC Common murre)
2013-01-01T00:00:00Z,0.003,Salmon juveniles (Ce CC Common murre)
2014-01-01T00:00:00Z,0.001,Salmon juveniles (Ce CC Common murre)
2015-01-01T00:00:00Z,0,Salmon juveniles (Ce CC Common murre)
2016-01-01T00:00:00Z,0.001,Salmon juveniles (Ce CC Common murre)
2017-01-01T00:00:00Z,0.004,Salmon juveniles (Ce CC Common murre)
2018-01-01T00:00:00Z,0.005,Salmon juveniles (Ce CC Common murre)
2019-01-01T00:00:00Z,0.004,Salmon juveniles (Ce CC Common murre)
1971-01-01T00:00:00Z,0,E. pacifica (Ce CC SEFI Cassins auklet)
1972-01-01T00:00:00Z,NA,E. pacifica (Ce CC SEFI Cassins auklet)
1973-01-01T00:00:00Z,NA,E. pacifica (Ce CC SEFI Cassins auklet)
1974-01-01T00:00:00Z,NA,E. pacifica (Ce CC SEFI Cassins auklet)
1975-01-01T00:00:00Z,NA,E. pacifica (Ce CC SEFI Cassins auklet)
1976-01-01T00:00:00Z,NA,E. pacifica (Ce CC SEFI Cassins auklet)
1977-01-01T00:00:00Z,0.141,E. pacifica (Ce CC SEFI Cassins auklet)
1978-01-01T00:00:00Z,NA,E. pacifica (Ce CC SEFI Cassins auklet)
1979-01-01T00:00:00Z,0.223,E. pacifica (Ce CC SEFI Cassins auklet)
1980-01-01T00:00:00Z,0.443,E. pacifica (Ce CC SEFI Cassins auklet)
1981-01-01T00:00:00Z,0.407,E. pacifica (Ce CC SEFI Cassins auklet)
1982-01-01T00:00:00Z,NA,E. pacifica (Ce CC SEFI Cassins auklet)
1983-01-01T00:00:00Z,NA,E. pacifica (Ce CC SEFI Cassins auklet)
1984-01-01T00:00:00Z,NA,E. pacifica (Ce CC SEFI Cassins auklet)
1985-01-01T00:00:00Z,0.562,E. pacifica (Ce CC SEFI Cassins auklet)
1986-01-01T00:00:00Z,0.594,E. pacifica (Ce CC SEFI Cassins auklet)
1987-01-01T00:00:00Z,0.532,E. pacifica (Ce CC SEFI Cassins auklet)
1988-01-01T00:00:00Z,0.603,E. pacifica (Ce CC SEFI Cassins auklet)
1989-01-01T00:00:00Z,0.608,E. pacifica (Ce CC SEFI Cassins auklet)
1990-01-01T00:00:00Z,0.572,E. pacifica (Ce CC SEFI Cassins auklet)
1991-01-01T00:00:00Z,0.421,E. pacifica (Ce CC SEFI Cassins auklet)
1992-01-01T00:00:00Z,NA,E. pacifica (Ce CC SEFI Cassins auklet)
1993-01-01T00:00:00Z,0.487,E. pacifica (Ce CC SEFI Cassins auklet)
1994-01-01T00:00:00Z,0.498,E. pacifica (Ce CC SEFI Cassins auklet)
1995-01-01T00:00:00Z,0.251,E. pacifica (Ce CC SEFI Cassins auklet)
1996-01-01T00:00:00Z,0.083,E. pacifica (Ce CC SEFI Cassins auklet)
1997-01-01T00:00:00Z,0.267,E. pacifica (Ce CC SEFI Cassins auklet)
1998-01-01T00:00:00Z,0.094,E. pacifica (Ce CC SEFI Cassins auklet)
1999-01-01T00:00:00Z,0.559,E. pacifica (Ce CC SEFI Cassins auklet)
2000-01-01T00:00:00Z,0.178,E. pacifica (Ce CC SEFI Cassins auklet)
2001-01-01T00:00:00Z,0.354,E. pacifica (Ce CC SEFI Cassins auklet)
2002-01-01T00:00:00Z,0.401,E. pacifica (Ce CC SEFI Cassins auklet)
2003-01-01T00:00:00Z,0.221,E. pacifica (Ce CC SEFI Cassins auklet)
2004-01-01T00:00:00Z,0.099,E. pacifica (Ce CC SEFI Cassins auklet)
2005-01-01T00:00:00Z,0,E. pacifica (Ce CC SEFI Cassins auklet)
2006-01-01T00:00:00Z,0,E. pacifica (Ce CC SEFI Cassins auklet)
2007-01-01T00:00:00Z,0.237,E. pacifica (Ce CC SEFI Cassins auklet)
2008-01-01T00:00:00Z,0.445,E. pacifica (Ce CC SEFI Cassins auklet)
2009-01-01T00:00:00Z,0.363,E. pacifica (Ce CC SEFI Cassins auklet)
2010-01-01T00:00:00Z,0.569,E. pacifica (Ce CC SEFI Cassins auklet)
2011-01-01T00:00:00Z,0.444,E. pacifica (Ce CC SEFI Cassins auklet)
2012-01-01T00:00:00Z,0.644,E. pacifica (Ce CC SEFI Cassins auklet)
2013-01-01T00:00:00Z,0.155,E. pacifica (Ce CC SEFI Cassins auklet)
2014-01-01T00:00:00Z,0.07,E. pacifica (Ce CC SEFI Cassins auklet)
2015-01-01T00:00:00Z,0.165,E. pacifica (Ce CC SEFI Cassins auklet)
2016-01-01T00:00:00Z,0.064,E. pacifica (Ce CC SEFI Cassins auklet)
2017-01-01T00:00:00Z,0.332,E. pacifica (Ce CC SEFI Cassins auklet)
2018-01-01T00:00:00Z,0.502,E. pacifica (Ce CC SEFI Cassins auklet)
1971-01-01T00:00:00Z,0.206,T. spinifera (Ce CC SEFI Cassins auklet)
1972-01-01T00:00:00Z,NA,T. spinifera (Ce CC SEFI Cassins auklet)
1973-01-01T00:00:00Z,NA,T. spinifera (Ce CC SEFI Cassins auklet)
1974-01-01T00:00:00Z,NA,T. spinifera (Ce CC SEFI Cassins auklet)
1975-01-01T00:00:00Z,NA,T. spinifera (Ce CC SEFI Cassins auklet)
1976-01-01T00:00:00Z,NA,T. spinifera (Ce CC SEFI Cassins auklet)
1977-01-01T00:00:00Z,0.859,T. spinifera (Ce CC SEFI Cassins auklet)
1978-01-01T00:00:00Z,NA,T. spinifera (Ce CC SEFI Cassins auklet)
1979-01-01T00:00:00Z,0.479,T. spinifera (Ce CC SEFI Cassins auklet)
1980-01-01T00:00:00Z,0.031,T. spinifera (Ce CC SEFI Cassins auklet)
1981-01-01T00:00:00Z,0.495,T. spinifera (Ce CC SEFI Cassins auklet)
1982-01-01T00:00:00Z,NA,T. spinifera (Ce CC SEFI Cassins auklet)
1983-01-01T00:00:00Z,NA,T. spinifera (Ce CC SEFI Cassins auklet)
1984-01-01T00:00:00Z,NA,T. spinifera (Ce CC SEFI Cassins auklet)
1985-01-01T00:00:00Z,0.201,T. spinifera (Ce CC SEFI Cassins auklet)
1986-01-01T00:00:00Z,0.253,T. spinifera (Ce CC SEFI Cassins auklet)
1987-01-01T00:00:00Z,0.429,T. spinifera (Ce CC SEFI Cassins auklet)
1988-01-01T00:00:00Z,0.368,T. spinifera (Ce CC SEFI Cassins auklet)
1989-01-01T00:00:00Z,0.369,T. spinifera (Ce CC SEFI Cassins auklet)
1990-01-01T00:00:00Z,0.216,T. spinifera (Ce CC SEFI Cassins auklet)
1991-01-01T00:00:00Z,0.151,T. spinifera (Ce CC SEFI Cassins auklet)
1992-01-01T00:00:00Z,NA,T. spinifera (Ce CC SEFI Cassins auklet)
1993-01-01T00:00:00Z,0.278,T. spinifera (Ce CC SEFI Cassins auklet)
1994-01-01T00:00:00Z,0.348,T. spinifera (Ce CC SEFI Cassins auklet)
1995-01-01T00:00:00Z,0.359,T. spinifera (Ce CC SEFI Cassins auklet)
1996-01-01T00:00:00Z,0.822,T. spinifera (Ce CC SEFI Cassins auklet)
1997-01-01T00:00:00Z,0.372,T. spinifera (Ce CC SEFI Cassins auklet)
1998-01-01T00:00:00Z,0.701,T. spinifera (Ce CC SEFI Cassins auklet)
1999-01-01T00:00:00Z,0.205,T. spinifera (Ce CC SEFI Cassins auklet)
2000-01-01T00:00:00Z,0.603,T. spinifera (Ce CC SEFI Cassins auklet)
2001-01-01T00:00:00Z,0.511,T. spinifera (Ce CC SEFI Cassins auklet)
2002-01-01T00:00:00Z,0.485,T. spinifera (Ce CC SEFI Cassins auklet)
2003-01-01T00:00:00Z,0.627,T. spinifera (Ce CC SEFI Cassins auklet)
2004-01-01T00:00:00Z,0.441,T. spinifera (Ce CC SEFI Cassins auklet)
2005-01-01T00:00:00Z,0,T. spinifera (Ce CC SEFI Cassins auklet)
2006-01-01T00:00:00Z,0,T. spinifera (Ce CC SEFI Cassins auklet)
2007-01-01T00:00:00Z,0.076,T. spinifera (Ce CC SEFI Cassins auklet)
