time,productivity_anomaly,species_cohort
1980-01-01T00:00:00Z,-0.142,Cassins auklet productivity anomaly (Cen CC - SEFI)
1981-01-01T00:00:00Z,0.018,Cassins auklet productivity anomaly (Cen CC - SEFI)
1982-01-01T00:00:00Z,-0.042,Cassins auklet productivity anomaly (Cen CC - SEFI)
1983-01-01T00:00:00Z,-0.502,Cassins auklet productivity anomaly (Cen CC - SEFI)
1984-01-01T00:00:00Z,-0.002,Cassins auklet productivity anomaly (Cen CC - SEFI)
1985-01-01T00:00:00Z,-0.062,Cassins auklet productivity anomaly (Cen CC - SEFI)
1986-01-01T00:00:00Z,-0.002,Cassins auklet productivity anomaly (Cen CC - SEFI)
1987-01-01T00:00:00Z,-0.012,Cassins auklet productivity anomaly (Cen CC - SEFI)
1988-01-01T00:00:00Z,0.178,Cassins auklet productivity anomaly (Cen CC - SEFI)
1989-01-01T00:00:00Z,-0.152,Cassins auklet productivity anomaly (Cen CC - SEFI)
1990-01-01T00:00:00Z,-0.422,Cassins auklet productivity anomaly (Cen CC - SEFI)
1991-01-01T00:00:00Z,-0.172,Cassins auklet productivity anomaly (Cen CC - SEFI)
1992-01-01T00:00:00Z,-0.492,Cassins auklet productivity anomaly (Cen CC - SEFI)
1993-01-01T00:00:00Z,-0.162,Cassins auklet productivity anomaly (Cen CC - SEFI)
1994-01-01T00:00:00Z,0.258,Cassins auklet productivity anomaly (Cen CC - SEFI)
1995-01-01T00:00:00Z,-0.002,Cassins auklet productivity anomaly (Cen CC - SEFI)
1996-01-01T00:00:00Z,0.068,Cassins auklet productivity anomaly (Cen CC - SEFI)
1997-01-01T00:00:00Z,-0.192,Cassins auklet productivity anomaly (Cen CC - SEFI)
1998-01-01T00:00:00Z,0.048,Cassins auklet productivity anomaly (Cen CC - SEFI)
1999-01-01T00:00:00Z,0.088,Cassins auklet productivity anomaly (Cen CC - SEFI)
2000-01-01T00:00:00Z,0.088,Cassins auklet productivity anomaly (Cen CC - SEFI)
2001-01-01T00:00:00Z,0.308,Cassins auklet productivity anomaly (Cen CC - SEFI)
2002-01-01T00:00:00Z,0.438,Cassins auklet productivity anomaly (Cen CC - SEFI)
