time,vwnd
1994-11-01T00:00:00Z,-2.2084775
1994-12-01T00:00:00Z,-1.1973333
1995-01-01T00:00:00Z,-0.0253012
1995-02-01T00:00:00Z,-0.2004894
1995-03-01T00:00:00Z,-0.2032308
1995-04-01T00:00:00Z,-1.9075733
1995-05-01T00:00:00Z,-0.4642965
1995-06-01T00:00:00Z,-0.1315693
1995-07-01T00:00:00Z,-0.152883
1995-08-01T00:00:00Z,-0.8122642
1995-09-01T00:00:00Z,-0.700838
1995-10-01T00:00:00Z,0.2131436
1995-11-01T00:00:00Z,-0.2495787
1995-12-01T00:00:00Z,-1.1174797
1996-01-01T00:00:00Z,-0.9027285
1996-02-01T00:00:00Z,-0.4936672
1996-03-01T00:00:00Z,-0.664071
1996-04-01T00:00:00Z,-1.0627451
1996-05-01T00:00:00Z,-0.1972715
1996-06-01T00:00:00Z,-0.1039886
1996-07-01T00:00:00Z,-0.2727648
1996-08-01T00:00:00Z,-0.2620924
1996-09-01T00:00:00Z,0.4780112
1996-10-01T00:00:00Z,-0.5685871
1996-11-01T00:00:00Z,-1.0946143
1996-12-01T00:00:00Z,0.1710991
1997-01-01T00:00:00Z,-0.5645604
1997-02-01T00:00:00Z,-1.9944359
1997-03-01T00:00:00Z,-0.5746269
1997-04-01T00:00:00Z,-1.2184248
1997-05-01T00:00:00Z,0.1572207
1997-06-01T00:00:00Z,0.4397203
1997-11-01T00:00:00Z,-0.1066406
1997-12-01T00:00:00Z,-2.9060524
1998-01-01T00:00:00Z,-0.7959243
1998-02-01T00:00:00Z,0.06049
1998-03-01T00:00:00Z,-0.8356083
1998-04-01T00:00:00Z,-0.7529586
1998-05-01T00:00:00Z,-0.0117066
1998-06-01T00:00:00Z,-0.2092262
1998-07-01T00:00:00Z,0.1932414
1998-08-01T00:00:00Z,-0.3573793
1998-09-01T00:00:00Z,0.037642
1998-10-01T00:00:00Z,-0.8686275
1998-11-01T00:00:00Z,-1.360913
1998-12-01T00:00:00Z,-2.4697297
1999-01-01T00:00:00Z,-0.5781377
1999-02-01T00:00:00Z,-1.3134848
1999-03-01T00:00:00Z,0.0058333
1999-04-01T00:00:00Z,-0.8440111
1999-05-01T00:00:00Z,-0.0745946
1999-06-01T00:00:00Z,0.34
1999-07-01T00:00:00Z,0.1912281
1999-08-01T00:00:00Z,-0.2200814
1999-09-01T00:00:00Z,-0.176676
1999-10-01T00:00:00Z,-1.2816412
1999-11-01T00:00:00Z,-0.6838235
1999-12-01T00:00:00Z,-1.4379542
2000-01-01T00:00:00Z,-0.9061111
2000-02-01T00:00:00Z,0.5815407
2000-03-01T00:00:00Z,-0.2721024
2000-04-01T00:00:00Z,-0.0502177
2000-05-01T00:00:00Z,-0.1894231
2000-06-01T00:00:00Z,0.5229577
2000-07-01T00:00:00Z,-0.0643725
2000-08-01T00:00:00Z,0.0479784
2000-09-01T00:00:00Z,0.1486787
2000-10-01T00:00:00Z,-0.0997279
2000-11-01T00:00:00Z,-1.346583
2000-12-01T00:00:00Z,-0.4065949
2001-01-01T00:00:00Z,-0.7750337
2001-02-01T00:00:00Z,-0.1128167
2001-03-01T00:00:00Z,0.2198917
2001-04-01T00:00:00Z,-0.287395
2001-05-01T00:00:00Z,0.4655914
2001-06-01T00:00:00Z,0.4918994
2001-07-01T00:00:00Z,0.2833333
2001-08-01T00:00:00Z,-0.1622807
2001-09-01T00:00:00Z,-0.0389972
2001-10-01T00:00:00Z,-0.0178763
2001-11-01T00:00:00Z,-0.648954
2001-12-01T00:00:00Z,-1.3255376
2002-01-01T00:00:00Z,-1.237062
2002-03-01T00:00:00Z,-1.5077356
2002-04-01T00:00:00Z,-0.4369382
2002-05-01T00:00:00Z,-0.0497297
2002-06-01T00:00:00Z,0.5309091
2002-07-01T00:00:00Z,0.6777027
2002-08-01T00:00:00Z,-0.4823212
2002-09-01T00:00:00Z,-0.520306
2002-10-01T00:00:00Z,-0.5217391
2002-11-01T00:00:00Z,-0.7689415
2002-12-01T00:00:00Z,-0.9257066
2003-01-01T00:00:00Z,-1.3446693
2003-02-01T00:00:00Z,-0.546131
