time,population,cond_pct_nat,cond_pop_gr,cond_age_div
2005-01-01T00:00:00Z,SnakeFall,46.2,0.9655781,1.2257979
2006-01-01T00:00:00Z,SnakeFall,61.4,1.1151055,1.3243632
2007-01-01T00:00:00Z,SnakeFall,33.7,0.9646621,1.3036665
2008-01-01T00:00:00Z,SnakeFall,25.1,0.8228536,1.3245096
2009-01-01T00:00:00Z,SnakeFall,20.7,0.9789155,1.3009466
2010-01-01T00:00:00Z,SnakeFall,18.5,1.239805,1.0953428
2011-01-01T00:00:00Z,SnakeFall,34.2,1.3008643,1.1649996
2012-01-01T00:00:00Z,SnakeFall,37.3,1.3671284,1.0566249
2013-01-01T00:00:00Z,SnakeFall,39.9,1.5209044,0.9943874
2014-01-01T00:00:00Z,SnakeFall,24.8,1.1225868,1.1929476
1970-01-01T00:00:00Z,SnakeSpSu,100,NA,0.8649397
1971-01-01T00:00:00Z,SnakeSpSu,100,NA,0.8705364
1972-01-01T00:00:00Z,SnakeSpSu,100,NA,0.846715
1973-01-01T00:00:00Z,SnakeSpSu,100,NA,0.8067636
1974-01-01T00:00:00Z,SnakeSpSu,100,0.9090129,0.8231449
1975-01-01T00:00:00Z,SnakeSpSu,100,0.9006902,0.7172622
1976-01-01T00:00:00Z,SnakeSpSu,100,0.8177792,0.90331393
1977-01-01T00:00:00Z,SnakeSpSu,100,0.73678887,0.8155077
1978-01-01T00:00:00Z,SnakeSpSu,100,1.4169636,0.58721614
1979-01-01T00:00:00Z,SnakeSpSu,100,0.9279553,0.88259465
1980-01-01T00:00:00Z,SnakeSpSu,98.92096,0.8936466,0.79541636
1981-01-01T00:00:00Z,SnakeSpSu,99.247765,0.9006601,0.77515715
1982-01-01T00:00:00Z,SnakeSpSu,99.78937,0.48129344,0.86006457
1983-01-01T00:00:00Z,SnakeSpSu,99.48251,1.0998577,0.7592072
1984-01-01T00:00:00Z,SnakeSpSu,98.12105,1.0871401,0.8433891
1985-01-01T00:00:00Z,SnakeSpSu,93.39517,1.1102939,0.84874344
1986-01-01T00:00:00Z,SnakeSpSu,86.22183,1.0590214,0.8458406
1987-01-01T00:00:00Z,SnakeSpSu,71.947205,1.0610043,0.74552596
1988-01-01T00:00:00Z,SnakeSpSu,75.49241,1.1632187,0.7034737
1989-01-01T00:00:00Z,SnakeSpSu,85.67185,0.8526722,0.8747609
1990-01-01T00:00:00Z,SnakeSpSu,71.997826,0.93772364,0.7514767
1991-01-01T00:00:00Z,SnakeSpSu,75.41894,0.8258149,0.8556173
1992-01-01T00:00:00Z,SnakeSpSu,50.67271,0.63542616,0.71608263
1993-01-01T00:00:00Z,SnakeSpSu,68.631065,1.1841396,0.6811062
1994-01-01T00:00:00Z,SnakeSpSu,71.337654,0.8236768,0.76084477
1995-01-01T00:00:00Z,SnakeSpSu,76.14354,0.83696973,1.0006313
1996-01-01T00:00:00Z,SnakeSpSu,90.11625,0.9166017,0.62459314
1997-01-01T00:00:00Z,SnakeSpSu,73.102936,0.7194858,0.74861866
1998-01-01T00:00:00Z,SnakeSpSu,81.7857,1.1985955,0.90829164
1999-01-01T00:00:00Z,SnakeSpSu,70.61905,1.1256244,0.77755845
2000-01-01T00:00:00Z,SnakeSpSu,74.39951,1.2119323,0.7895481
2001-01-01T00:00:00Z,SnakeSpSu,80.25834,1.7206107,0.40822577
2002-01-01T00:00:00Z,SnakeSpSu,74.4312,1.3725152,0.7774737
2003-01-01T00:00:00Z,SnakeSpSu,79.27858,1.3490131,0.7937742
2004-01-01T00:00:00Z,SnakeSpSu,67.353905,1.102143,0.66957873
2005-01-01T00:00:00Z,SnakeSpSu,65.51973,0.8041452,0.8728268
2006-01-01T00:00:00Z,SnakeSpSu,64.72133,0.7610993,0.6036784
2007-01-01T00:00:00Z,SnakeSpSu,67.42997,0.6563957,0.9959601
2008-01-01T00:00:00Z,SnakeSpSu,50.471664,0.9813154,0.8923121
2009-01-01T00:00:00Z,SnakeSpSu,57.559258,1.1847636,0.8519971
2010-01-01T00:00:00Z,SnakeSpSu,55.36277,1.3853605,0.551266
2011-01-01T00:00:00Z,SnakeSpSu,60.700798,1.2727451,1.0281172
2012-01-01T00:00:00Z,SnakeSpSu,69.29325,1.1040156,0.7951937
2013-01-01T00:00:00Z,SnakeSpSu,66.662224,0.9938832,1.084176
2014-01-01T00:00:00Z,SnakeSpSu,87.44241,0.9884018,0.64747846
1970-01-01T00:00:00Z,UpperCRSpr,95.8637,NA,1.0187368
1971-01-01T00:00:00Z,UpperCRSpr,100,NA,1.0291097
1972-01-01T00:00:00Z,UpperCRSpr,100,NA,0.8376565
1973-01-01T00:00:00Z,UpperCRSpr,99.36035,NA,0.95441043
1974-01-01T00:00:00Z,UpperCRSpr,100,0.9379245,0.7833831
1975-01-01T00:00:00Z,UpperCRSpr,100,1.1349766,0.8655612
1976-01-01T00:00:00Z,UpperCRSpr,99.27154,0.9414838,1.0947477
1977-01-01T00:00:00Z,UpperCRSpr,99.5096,0.85254973,0.8919199
1978-01-01T00:00:00Z,UpperCRSpr,99.51134,1.217935,0.74533385
1979-01-01T00:00:00Z,UpperCRSpr,97.659325,0.80709636,0.90155953
1980-01-01T00:00:00Z,UpperCRSpr,96.54456,0.9566535,0.9536764
1981-01-01T00:00:00Z,UpperCRSpr,94.79802,0.7937884,0.808389
1982-01-01T00:00:00Z,UpperCRSpr,93.65435,0.63684976,0.8179141
1983-01-01T00:00:00Z,UpperCRSpr,94.23725,1.1977944,0.8078299
1984-01-01T00:00:00Z,UpperCRSpr,94.91012,1.0827391,0.76481473
1985-01-01T00:00:00Z,UpperCRSpr,92.88963,1.2236516,0.762336
1986-01-01T00:00:00Z,UpperCRSpr,92.34568,1.0543402,0.7303271
1987-01-01T00:00:00Z,UpperCRSpr,94.72188,0.98280984,0.8111659
1988-01-01T00:00:00Z,UpperCRSpr,89.0705,0.98238647,0.812827
1989-01-01T00:00:00Z,UpperCRSpr,96.74233,0.85753447,0.81387496
1990-01-01T00:00:00Z,UpperCRSpr,97.192764,0.92626655,0.76948756
1991-01-01T00:00:00Z,UpperCRSpr,96.04054,0.80675966,0.8881193
1992-01-01T00:00:00Z,UpperCRSpr,87.52909,0.942747,0.67553955
1993-01-01T00:00:00Z,UpperCRSpr,67.29973,0.92376894,0.63700366
1994-01-01T00:00:00Z,UpperCRSpr,77.88288,0.7742581,0.63339466
1995-01-01T00:00:00Z,UpperCRSpr,57.321167,0.81035554,0.679261
1996-01-01T00:00:00Z,UpperCRSpr,74.30038,0.53960145,0.84337217
1997-01-01T00:00:00Z,UpperCRSpr,61.76167,0.5109443,0.4865252
1998-01-01T00:00:00Z,UpperCRSpr,73.726616,0.8506553,0.3057963
1999-01-01T00:00:00Z,UpperCRSpr,60.34568,1.0972227,0.640504
2000-01-01T00:00:00Z,UpperCRSpr,40.823166,1.602101,0.7254547
2001-01-01T00:00:00Z,UpperCRSpr,22.254795,2.3076959,0.49798423000000003
2002-01-01T00:00:00Z,UpperCRSpr,27.173952,1.1853546,0.72496265
2003-01-01T00:00:00Z,UpperCRSpr,37.087467,1.1186308,0.7406921
2004-01-01T00:00:00Z,UpperCRSpr,46.4369,1.1016808,0.18943174
2005-01-01T00:00:00Z,UpperCRSpr,31.356363,0.6617102,0.52178746
2006-01-01T00:00:00Z,UpperCRSpr,25.40313,0.897872,0.664775
2007-01-01T00:00:00Z,UpperCRSpr,24.116304,0.9939645,0.8245278
2008-01-01T00:00:00Z,UpperCRSpr,22.767317,0.7888355,0.56315994
2009-01-01T00:00:00Z,UpperCRSpr,25.510761,1.1058971,0.5206426
2010-01-01T00:00:00Z,UpperCRSpr,31.79768,1.1965004,0.31559575
2011-01-01T00:00:00Z,UpperCRSpr,39.10826,1.3673102,0.8694436
2012-01-01T00:00:00Z,UpperCRSpr,32.853363,1.1029264,0.5923273
2013-01-01T00:00:00Z,UpperCRSpr,32.66385,0.96302336,0.8294881
2014-01-01T00:00:00Z,UpperCRSpr,25,0.90398395,0.7100669
1970-01-01T00:00:00Z,Willamette,100,NA,0.73408145
1971-01-01T00:00:00Z,Willamette,89,NA,0.7113016
1972-01-01T00:00:00Z,Willamette,86,NA,0.67927164
1973-01-01T00:00:00Z,Willamette,86,NA,0.78045064
1974-01-01T00:00:00Z,Willamette,91.25464,1.0767932,0.7783723
1975-01-01T00:00:00Z,Willamette,83,0.84208816,0.7569228
1976-01-01T00:00:00Z,Willamette,38.434563,0.9430586,0.6869193
1977-01-01T00:00:00Z,Willamette,57.99214,0.45105025,0.734448
1978-01-01T00:00:00Z,Willamette,33,0.6672644,0.71337384
1979-01-01T00:00:00Z,Willamette,51.157463,0.9048556,0.7036783
1980-01-01T00:00:00Z,Willamette,47.700287,1.2613662,0.6810506
1981-01-01T00:00:00Z,Willamette,38.746456,0.9979723,0.7258048
1982-01-01T00:00:00Z,Willamette,36.245815,1.1212933,0.69765466
1983-01-01T00:00:00Z,Willamette,45.284153,1.1658831,0.6713502
1984-01-01T00:00:00Z,Willamette,39.493538,0.93798685,0.68673104
1985-01-01T00:00:00Z,Willamette,41.431305,0.91439193,0.68300325
1986-01-01T00:00:00Z,Willamette,37.41955,0.9364467,0.65511185
1987-01-01T00:00:00Z,Willamette,52.49178,1.1449715,0.6580624
1988-01-01T00:00:00Z,Willamette,61.66355,1.6429949,0.69495654
1989-01-01T00:00:00Z,Willamette,46.65771,1.1848632,0.72149235
1990-01-01T00:00:00Z,Willamette,60.647873,1.3690062,0.7194618
1991-01-01T00:00:00Z,Willamette,39.07531,1.0438832,0.76453733
1992-01-01T00:00:00Z,Willamette,42.698593,0.8531179,0.707825
1993-01-01T00:00:00Z,Willamette,51.535824,1.0191356,0.76379627
1994-01-01T00:00:00Z,Willamette,40.638668,0.71505314,0.7412545
1995-01-01T00:00:00Z,Willamette,44.021805,0.82003486,0.75773907
1996-01-01T00:00:00Z,Willamette,57.483498,0.8122192,0.71205604
1997-01-01T00:00:00Z,Willamette,54.314007,0.72664154,0.68690383
1998-01-01T00:00:00Z,Willamette,55.384224,1.0459571,0.7098946
1999-01-01T00:00:00Z,Willamette,57.946068,1.0174441,0.69618034
2000-01-01T00:00:00Z,Willamette,53.742054,1.200378,0.69068706
2001-01-01T00:00:00Z,Willamette,26.965748,1.4329008,0.68424165
2002-01-01T00:00:00Z,Willamette,25.557173,1.2887647,0.7332778
2003-01-01T00:00:00Z,Willamette,23.444164,1.3952795,0.71184236
2004-01-01T00:00:00Z,Willamette,26.573137,1.3034608,0.66483295
2005-01-01T00:00:00Z,Willamette,32.529964,0.9808609,0.62878734
2006-01-01T00:00:00Z,Willamette,29.24244,0.91522706,0.8051239
2007-01-01T00:00:00Z,Willamette,35.88849,0.85525817,0.6182426
2008-01-01T00:00:00Z,Willamette,35.72863,0.6878403,0.9036144
2009-01-01T00:00:00Z,Willamette,15.9952545,1.0327605,0.8579286
2010-01-01T00:00:00Z,Willamette,10.350723,0.89101094,0.83154
2011-01-01T00:00:00Z,Willamette,18.647806,0.9920863,0.7329788
2012-01-01T00:00:00Z,Willamette,32.337887,1.0599554,0.6304723
2013-01-01T00:00:00Z,Willamette,16.432795,1.0013767,0.6304723
2014-01-01T00:00:00Z,Willamette,30.58946,0.95091546,NA
