time,beuti,latitude
1991-09-01T00:00:00Z,0.237,45
1991-09-01T00:00:00Z,4.394,39
1991-09-01T00:00:00Z,0.014,33
1991-10-01T00:00:00Z,1.151,45
1991-10-01T00:00:00Z,4.17,39
1991-10-01T00:00:00Z,0.018,33
1991-11-01T00:00:00Z,-0.773,45
1991-11-01T00:00:00Z,11.18,39
1991-11-01T00:00:00Z,0.204,33
1991-12-01T00:00:00Z,-1.206,45
1991-12-01T00:00:00Z,1.533,39
1991-12-01T00:00:00Z,0.234,33
1992-01-01T00:00:00Z,-7.41,45
1992-01-01T00:00:00Z,1.345,39
1992-01-01T00:00:00Z,0.191,33
1992-02-01T00:00:00Z,-1.782,45
1992-02-01T00:00:00Z,-2.57,39
1992-02-01T00:00:00Z,-0.045,33
1992-03-01T00:00:00Z,1.359,45
1992-03-01T00:00:00Z,0.604,39
1992-03-01T00:00:00Z,0.143,33
1992-04-01T00:00:00Z,0.042,45
1992-04-01T00:00:00Z,3.255,39
1992-04-01T00:00:00Z,0.052,33
1992-05-01T00:00:00Z,0.342,45
1992-05-01T00:00:00Z,10.61,39
1992-05-01T00:00:00Z,0.077,33
1992-06-01T00:00:00Z,0.403,45
1992-06-01T00:00:00Z,10.198,39
1992-06-01T00:00:00Z,0.058,33
1992-07-01T00:00:00Z,0.528,45
1992-07-01T00:00:00Z,5.536,39
1992-07-01T00:00:00Z,0.013,33
1992-08-01T00:00:00Z,0.507,45
1992-08-01T00:00:00Z,4.992,39
1992-08-01T00:00:00Z,0.003,33
1992-09-01T00:00:00Z,0.603,45
1992-09-01T00:00:00Z,3.8,39
1992-09-01T00:00:00Z,0.004,33
1992-10-01T00:00:00Z,0.406,45
1992-10-01T00:00:00Z,0.263,39
1992-10-01T00:00:00Z,0.003,33
1992-11-01T00:00:00Z,-0.141,45
1992-11-01T00:00:00Z,0.884,39
1992-11-01T00:00:00Z,0.007,33
1992-12-01T00:00:00Z,-0.54,45
1992-12-01T00:00:00Z,2.796,39
1992-12-01T00:00:00Z,0.2,33
1993-01-01T00:00:00Z,-0.284,45
1993-01-01T00:00:00Z,-0.749,39
1993-01-01T00:00:00Z,0.18,33
1993-02-01T00:00:00Z,0.319,45
1993-02-01T00:00:00Z,-1.228,39
1993-02-01T00:00:00Z,0.151,33
1993-03-01T00:00:00Z,-3.679,45
1993-03-01T00:00:00Z,2.865,39
1993-03-01T00:00:00Z,0.228,33
