time,upwelling_index,nobs,stdev
1977-02-01T00:00:00Z,3.0532,112,94.125
1977-03-01T00:00:00Z,125.4403,124,145.539
1977-04-01T00:00:00Z,212.818,120,289.077
1977-05-01T00:00:00Z,80.463,124,98.695
1977-06-01T00:00:00Z,287.0825,120,215.809
1977-07-01T00:00:00Z,242.6777,124,133.415
1977-08-01T00:00:00Z,149.3906,124,146.382
1977-09-01T00:00:00Z,108.7562,120,172.657
1977-10-01T00:00:00Z,76.6315,124,110.513
1977-11-01T00:00:00Z,36.9322,120,177.356
1977-12-01T00:00:00Z,-115.9509,124,295.501
1978-01-01T00:00:00Z,-197.5748,124,334.262
1978-02-01T00:00:00Z,-77.3131,112,273.037
1978-03-01T00:00:00Z,11.497,123,118.066
1978-04-01T00:00:00Z,56.7,120,127.279
1978-05-01T00:00:00Z,256.6646,124,236.743
1978-06-01T00:00:00Z,161.9484,120,123.926
1978-07-01T00:00:00Z,262.4109,124,179.987
1978-08-01T00:00:00Z,188.6112,124,152.71
1978-09-01T00:00:00Z,117.2595,120,165.617
1978-10-01T00:00:00Z,115.5778,124,107.107
1978-11-01T00:00:00Z,81.0135,120,160.773
1978-12-01T00:00:00Z,45.3629,124,90.707
1979-01-01T00:00:00Z,-24.4735,124,168.059
1979-02-01T00:00:00Z,-41.2278,112,183.699
1979-03-01T00:00:00Z,26.5408,124,84.543
1979-04-01T00:00:00Z,43.0588,120,129.024
1979-05-01T00:00:00Z,231.6572,124,230.623
1979-06-01T00:00:00Z,201.5069,120,179.913
1979-07-01T00:00:00Z,149.9956,124,160.882
1979-08-01T00:00:00Z,116.8524,124,121.353
1979-09-01T00:00:00Z,88.7812,120,115.775
1979-10-01T00:00:00Z,2.2279,124,135.296
1979-11-01T00:00:00Z,-40.5744,120,98.269
1979-12-01T00:00:00Z,-93.9107,124,274.353
1980-01-01T00:00:00Z,-23.2218,124,126.45
1980-02-01T00:00:00Z,-116.1399,116,211.158
1980-03-01T00:00:00Z,132.5793,124,192.161
1980-04-01T00:00:00Z,111.9506,120,223.425
1980-05-01T00:00:00Z,171.7757,124,178.491
1980-06-01T00:00:00Z,169.5913,120,185.277
1980-07-01T00:00:00Z,171.9068,124,163.07
1980-08-01T00:00:00Z,222.6756,124,137.347
1980-09-01T00:00:00Z,102.5546,120,107.001
1980-10-01T00:00:00Z,56.5511,124,95.812
1980-11-01T00:00:00Z,13.0359,120,54.829
1980-12-01T00:00:00Z,-59.4178,124,155.221
