time,cuti,latitude
1991-09-01T00:00:00Z,0.558,45
1991-09-01T00:00:00Z,0.755,39
1991-09-01T00:00:00Z,0.224,33
1991-10-01T00:00:00Z,0.381,45
1991-10-01T00:00:00Z,0.746,39
1991-10-01T00:00:00Z,0.421,33
1991-11-01T00:00:00Z,-0.199,45
1991-11-01T00:00:00Z,0.987,39
1991-11-01T00:00:00Z,0.436,33
1991-12-01T00:00:00Z,-0.098,45
1991-12-01T00:00:00Z,0.047,39
1991-12-01T00:00:00Z,0.151,33
1992-01-01T00:00:00Z,-0.719,45
1992-01-01T00:00:00Z,0.064,39
1992-01-01T00:00:00Z,0.11,33
1992-02-01T00:00:00Z,-0.212,45
1992-02-01T00:00:00Z,-0.324,39
1992-02-01T00:00:00Z,0.061,33
1992-03-01T00:00:00Z,0.311,45
1992-03-01T00:00:00Z,0.185,39
1992-03-01T00:00:00Z,0.205,33
1992-04-01T00:00:00Z,-0.075,45
1992-04-01T00:00:00Z,0.752,39
1992-04-01T00:00:00Z,0.459,33
1992-05-01T00:00:00Z,0.614,45
1992-05-01T00:00:00Z,1.269,39
1992-05-01T00:00:00Z,0.36,33
1992-06-01T00:00:00Z,0.445,45
1992-06-01T00:00:00Z,0.832,39
1992-06-01T00:00:00Z,0.537,33
1992-07-01T00:00:00Z,0.551,45
1992-07-01T00:00:00Z,0.932,39
1992-07-01T00:00:00Z,0.299,33
1992-08-01T00:00:00Z,0.425,45
1992-08-01T00:00:00Z,0.78,39
1992-08-01T00:00:00Z,0.432,33
1992-09-01T00:00:00Z,0.283,45
1992-09-01T00:00:00Z,0.899,39
1992-09-01T00:00:00Z,0.49,33
1992-10-01T00:00:00Z,0.139,45
1992-10-01T00:00:00Z,0.473,39
1992-10-01T00:00:00Z,0.376,33
1992-11-01T00:00:00Z,-0.073,45
1992-11-01T00:00:00Z,0.468,39
1992-11-01T00:00:00Z,0.41,33
1992-12-01T00:00:00Z,-0.036,45
1992-12-01T00:00:00Z,0.447,39
1992-12-01T00:00:00Z,0.421,33
1993-01-01T00:00:00Z,-0.035,45
1993-01-01T00:00:00Z,-0.055,39
1993-01-01T00:00:00Z,0.144,33
1993-02-01T00:00:00Z,-0.039,45
1993-02-01T00:00:00Z,-0.135,39
1993-02-01T00:00:00Z,0.142,33
1993-03-01T00:00:00Z,-0.259,45
1993-03-01T00:00:00Z,0.334,39
1993-03-01T00:00:00Z,0.401,33
1993-04-01T00:00:00Z,-0.468,45
1993-04-01T00:00:00Z,1.036,39
1993-04-01T00:00:00Z,0.662,33
1993-05-01T00:00:00Z,0.034,45
1993-05-01T00:00:00Z,0.189,39
1993-05-01T00:00:00Z,0.505,33
1993-06-01T00:00:00Z,0.369,45
1993-06-01T00:00:00Z,1.928,39
1993-06-01T00:00:00Z,0.356,33
1993-07-01T00:00:00Z,0.448,45
1993-07-01T00:00:00Z,1.483,39
1993-07-01T00:00:00Z,0.147,33
1993-08-01T00:00:00Z,0.539,45
1993-08-01T00:00:00Z,1.049,39
1993-08-01T00:00:00Z,0.284,33
1993-09-01T00:00:00Z,0.371,45
1993-09-01T00:00:00Z,1.13,39
1993-09-01T00:00:00Z,0.305,33
1993-10-01T00:00:00Z,0.169,45
1993-10-01T00:00:00Z,0.355,39
1993-10-01T00:00:00Z,0.165,33
1993-11-01T00:00:00Z,0.27,45
1993-11-01T00:00:00Z,0.691,39
1993-11-01T00:00:00Z,0.204,33
1993-12-01T00:00:00Z,-0.602,45
1993-12-01T00:00:00Z,0.029,39
1993-12-01T00:00:00Z,0.359,33
1994-01-01T00:00:00Z,-0.237,45
1994-01-01T00:00:00Z,0.259,39
1994-01-01T00:00:00Z,0.291,33
1994-02-01T00:00:00Z,-0.367,45
1994-02-01T00:00:00Z,0.153,39
1994-02-01T00:00:00Z,0.199,33
1994-03-01T00:00:00Z,0.072,45
1994-03-01T00:00:00Z,0.494,39
1994-03-01T00:00:00Z,0.35,33
1994-04-01T00:00:00Z,0.135,45
1994-04-01T00:00:00Z,1.277,39
1994-04-01T00:00:00Z,0.558,33
1994-05-01T00:00:00Z,0.436,45
1994-05-01T00:00:00Z,1.066,39
1994-05-01T00:00:00Z,0.348,33
1994-06-01T00:00:00Z,0.387,45
1994-06-01T00:00:00Z,1.439,39
1994-06-01T00:00:00Z,0.277,33
1994-07-01T00:00:00Z,0.675,45
1994-07-01T00:00:00Z,0.948,39
1994-07-01T00:00:00Z,0.236,33
1994-08-01T00:00:00Z,0.308,45
1994-08-01T00:00:00Z,0.995,39
1994-08-01T00:00:00Z,0.25,33
1994-09-01T00:00:00Z,0.334,45
1994-09-01T00:00:00Z,0.64,39
1994-09-01T00:00:00Z,0.38,33
1994-10-01T00:00:00Z,0.114,45
1994-10-01T00:00:00Z,1.159,39
1994-10-01T00:00:00Z,0.302,33
1994-11-01T00:00:00Z,-0.163,45
1994-11-01T00:00:00Z,0.458,39
1994-11-01T00:00:00Z,0.494,33
1994-12-01T00:00:00Z,-0.731,45
1994-12-01T00:00:00Z,0.068,39
1994-12-01T00:00:00Z,0.41,33
1995-01-01T00:00:00Z,-0.737,45
1995-01-01T00:00:00Z,-1.197,39
1995-01-01T00:00:00Z,0.233,33
1995-02-01T00:00:00Z,-0.169,45
1995-02-01T00:00:00Z,0.3,39
1995-02-01T00:00:00Z,0.194,33
1995-03-01T00:00:00Z,-0.549,45
1995-03-01T00:00:00Z,0.153,39
1995-03-01T00:00:00Z,0.428,33
1995-04-01T00:00:00Z,0.276,45
1995-04-01T00:00:00Z,1.254,39
1995-04-01T00:00:00Z,0.654,33
1995-05-01T00:00:00Z,0.518,45
1995-05-01T00:00:00Z,1.507,39
1995-05-01T00:00:00Z,0.321,33
1995-06-01T00:00:00Z,0.346,45
1995-06-01T00:00:00Z,1.274,39
1995-06-01T00:00:00Z,0.257,33
1995-07-01T00:00:00Z,0.463,45
1995-07-01T00:00:00Z,0.816,39
1995-07-01T00:00:00Z,0.258,33
1995-08-01T00:00:00Z,0.36,45
1995-08-01T00:00:00Z,1.347,39
1995-08-01T00:00:00Z,0.255,33
1995-09-01T00:00:00Z,0.236,45
1995-09-01T00:00:00Z,0.671,39
1995-09-01T00:00:00Z,0.396,33
1995-10-01T00:00:00Z,0.207,45
1995-10-01T00:00:00Z,0.925,39
1995-10-01T00:00:00Z,0.137,33
1995-11-01T00:00:00Z,-0.429,45
1995-11-01T00:00:00Z,0.463,39
1995-11-01T00:00:00Z,0.298,33
1995-12-01T00:00:00Z,-0.639,45
1995-12-01T00:00:00Z,-0.119,39
1995-12-01T00:00:00Z,0.478,33
1996-01-01T00:00:00Z,-0.086,45
1996-01-01T00:00:00Z,0.554,39
1996-01-01T00:00:00Z,0.46,33
1996-02-01T00:00:00Z,-0.509,45
1996-02-01T00:00:00Z,-0.106,39
1996-02-01T00:00:00Z,0.291,33
1996-03-01T00:00:00Z,-0.028,45
1996-03-01T00:00:00Z,0.791,39
1996-03-01T00:00:00Z,0.387,33
1996-04-01T00:00:00Z,-0.48,45
1996-04-01T00:00:00Z,0.581,39
1996-04-01T00:00:00Z,0.446,33
1996-05-01T00:00:00Z,0.429,45
1996-05-01T00:00:00Z,1.841,39
