time,species_number
1998-01-01T00:00:00Z,3.586207
1999-01-01T00:00:00Z,2.8837209
2000-01-01T00:00:00Z,3.0192308
2001-01-01T00:00:00Z,3.4698796
2002-01-01T00:00:00Z,3.8850574
2003-01-01T00:00:00Z,4.4574466
2004-01-01T00:00:00Z,4.763441
2005-01-01T00:00:00Z,3.368932
2006-01-01T00:00:00Z,3.5619047
2007-01-01T00:00:00Z,3.9324324
2008-01-01T00:00:00Z,4.3292685
2009-01-01T00:00:00Z,3.6547618
2010-01-01T00:00:00Z,3.5357144
2011-01-01T00:00:00Z,3.5930233
2012-01-01T00:00:00Z,2.5308642
