time,location,aragonite_saturation
1998-01-01T00:00:00Z,NH05,NaN
1998-02-01T00:00:00Z,NH05,NaN
1998-03-01T00:00:00Z,NH05,NaN
1998-04-01T00:00:00Z,NH05,NaN
1998-05-01T00:00:00Z,NH05,NaN
1998-06-01T00:00:00Z,NH05,NaN
1998-07-01T00:00:00Z,NH05,NaN
1998-08-01T00:00:00Z,NH05,0.76358277
1998-09-01T00:00:00Z,NH05,0.93636364
1998-10-01T00:00:00Z,NH05,NaN
1998-11-01T00:00:00Z,NH05,1.467827
1998-12-01T00:00:00Z,NH05,NaN
1999-01-01T00:00:00Z,NH05,NaN
1999-02-01T00:00:00Z,NH05,1.5753083
1999-03-01T00:00:00Z,NH05,NaN
1999-04-01T00:00:00Z,NH05,1.041741
1999-05-01T00:00:00Z,NH05,NaN
1999-06-01T00:00:00Z,NH05,NaN
1999-07-01T00:00:00Z,NH05,0.6696954
1999-08-01T00:00:00Z,NH05,NaN
1999-09-01T00:00:00Z,NH05,0.80547065
1999-10-01T00:00:00Z,NH05,NaN
1999-11-01T00:00:00Z,NH05,1.6919415
1999-12-01T00:00:00Z,NH05,NaN
2000-01-01T00:00:00Z,NH05,NaN
2000-02-01T00:00:00Z,NH05,1.7209057
2000-03-01T00:00:00Z,NH05,NaN
2000-04-01T00:00:00Z,NH05,0.86590445
2000-05-01T00:00:00Z,NH05,NaN
2000-06-01T00:00:00Z,NH05,NaN
2000-07-01T00:00:00Z,NH05,0.62369925
2000-08-01T00:00:00Z,NH05,NaN
2000-09-01T00:00:00Z,NH05,0.6725702
2000-10-01T00:00:00Z,NH05,NaN
2000-11-01T00:00:00Z,NH05,NaN
2000-12-01T00:00:00Z,NH05,NaN
2001-01-01T00:00:00Z,NH05,1.6236271
2001-02-01T00:00:00Z,NH05,NaN
2001-03-01T00:00:00Z,NH05,1.9009496
2001-04-01T00:00:00Z,NH05,NaN
2001-05-01T00:00:00Z,NH05,NaN
2001-06-01T00:00:00Z,NH05,0.8766631
2001-07-01T00:00:00Z,NH05,0.73165786
2001-08-01T00:00:00Z,NH05,NaN
2001-09-01T00:00:00Z,NH05,0.6259516
2001-10-01T00:00:00Z,NH05,NaN
2001-11-01T00:00:00Z,NH05,1.8996155
2001-12-01T00:00:00Z,NH05,NaN
2002-01-01T00:00:00Z,NH05,NaN
2002-02-01T00:00:00Z,NH05,1.8150625
2002-03-01T00:00:00Z,NH05,NaN
2002-04-01T00:00:00Z,NH05,0.688893
