time,SWE_anomaly,Seup,Selo,location
1978-01-01T00:00:00Z,0.46182585,1.5008699,-0.5710524,Columbia Unglaciated
1979-01-01T00:00:00Z,0.104085885,0.4419203,-0.2342293,Columbia Unglaciated
1980-01-01T00:00:00Z,0.27879742,0.60490525,-0.047515113,Columbia Unglaciated
1981-01-01T00:00:00Z,-1.0150905,-0.7175678,-1.313338,Columbia Unglaciated
1982-01-01T00:00:00Z,1.4112524,1.6915131,1.1311429,Columbia Unglaciated
1983-01-01T00:00:00Z,0.74032146,1.0078839,0.47326908,Columbia Unglaciated
1984-01-01T00:00:00Z,0.7150506,0.9773438,0.45232147,Columbia Unglaciated
1985-01-01T00:00:00Z,0.79526085,1.0567124,0.53361845,Columbia Unglaciated
1986-01-01T00:00:00Z,-0.24847482,0.013205157,-0.5101571,Columbia Unglaciated
1987-01-01T00:00:00Z,-0.4700595,-0.20867577,-0.7313814,Columbia Unglaciated
1988-01-01T00:00:00Z,-0.43374988,-0.17266612,-0.69534,Columbia Unglaciated
1989-01-01T00:00:00Z,0.81020474,1.071307,0.54868484,Columbia Unglaciated
1990-01-01T00:00:00Z,-0.26232982,-0.0010201518,-0.5237338,Columbia Unglaciated
1991-01-01T00:00:00Z,-0.38726914,-0.12581511,-0.6486269,Columbia Unglaciated
1992-01-01T00:00:00Z,-1.1876861,-0.92623276,-1.4489441,Columbia Unglaciated
1993-01-01T00:00:00Z,-0.039375182,0.22201139,-0.30069482,Columbia Unglaciated
1994-01-01T00:00:00Z,-0.8352878,-0.5741734,-1.0967994,Columbia Unglaciated
1995-01-01T00:00:00Z,-0.20748483,0.054019794,-0.46894255,Columbia Unglaciated
1996-01-01T00:00:00Z,0.005731165,0.2669677,-0.25565642,Columbia Unglaciated
1997-01-01T00:00:00Z,1.0185761,1.279911,0.7572219,Columbia Unglaciated
1998-01-01T00:00:00Z,-0.27632067,-0.0151399,-0.5377246,Columbia Unglaciated
1999-01-01T00:00:00Z,1.3475173,1.609041,1.0862998,Columbia Unglaciated
2000-01-01T00:00:00Z,0.24135399,0.50246507,-0.02015363,Columbia Unglaciated
2001-01-01T00:00:00Z,-0.9365037,-0.67524064,-1.1981456,Columbia Unglaciated
2002-01-01T00:00:00Z,0.4368353,0.69796973,0.1752191,Columbia Unglaciated
2003-01-01T00:00:00Z,-0.49673718,-0.23557372,-0.7584442,Columbia Unglaciated
2004-01-01T00:00:00Z,-0.3096771,-0.04855184,-0.57115936,Columbia Unglaciated
2005-01-01T00:00:00Z,-1.0213811,-0.7602726,-1.2830509,Columbia Unglaciated
2006-01-01T00:00:00Z,0.6779664,0.93908453,0.4164216,Columbia Unglaciated
2007-01-01T00:00:00Z,-0.5846803,-0.32334456,-0.8460989,Columbia Unglaciated
2008-01-01T00:00:00Z,1.0514076,1.3124357,0.78963447,Columbia Unglaciated
