time,flow_anomaly_1_day_max,Seup,Selo,location
2009-01-01T00:00:00Z,0.08977849,0.31509313,-0.13827957,Upper Willamette River
2010-01-01T00:00:00Z,-0.31039733,-0.086049765,-0.53643006,Upper Willamette River
2011-01-01T00:00:00Z,0.43429586,0.65850824,0.20833874,Upper Willamette River
2012-01-01T00:00:00Z,0.8008437,1.0258278,0.57671326,Upper Willamette River
2013-01-01T00:00:00Z,-0.044343498,0.18029028,-0.2684454,Upper Willamette River
2014-01-01T00:00:00Z,0.15377565,0.37775448,-0.070844375,Upper Willamette River
2015-01-01T00:00:00Z,0.35409248,0.5780388,0.12936482,Upper Willamette River
2016-01-01T00:00:00Z,0.036261775,0.26026922,-0.18819624,Upper Willamette River
2017-01-01T00:00:00Z,-0.4253988,-0.20085508,-0.6495032,Upper Willamette River
2018-01-01T00:00:00Z,-0.79811203,-0.57412434,-1.0233397,Upper Willamette River
1981-01-01T00:00:00Z,0.28451803,0.6098993,-0.039234884,Oregon Coast
1982-01-01T00:00:00Z,1.1436849,1.4680282,0.8196086,Oregon Coast
1983-01-01T00:00:00Z,0.726162,1.050745,0.39958623,Oregon Coast
1984-01-01T00:00:00Z,0.0977701,0.42176318,-0.22674088,Oregon Coast
1985-01-01T00:00:00Z,-0.5475088,-0.22359516,-0.87189525,Oregon Coast
1986-01-01T00:00:00Z,0.3977089,0.72115064,0.07294896,Oregon Coast
1987-01-01T00:00:00Z,-0.31518704,0.00827522,-0.63986856,Oregon Coast
1988-01-01T00:00:00Z,-0.27940327,0.04520517,-0.6031877,Oregon Coast
1989-01-01T00:00:00Z,-0.5087345,-0.18523084,-0.8341004,Oregon Coast
1990-01-01T00:00:00Z,-0.02032812,0.30376303,-0.3444534,Oregon Coast
1991-01-01T00:00:00Z,-0.46857533,-0.14511609,-0.7933056,Oregon Coast
1992-01-01T00:00:00Z,-0.93670875,-0.61325634,-1.2614155,Oregon Coast
1993-01-01T00:00:00Z,-0.750159,-0.425194,-1.0738013,Oregon Coast
1994-01-01T00:00:00Z,-1.2211744,-0.8968044,-1.5448874,Oregon Coast
1995-01-01T00:00:00Z,0.16871014,0.492948,-0.15502629,Oregon Coast
1996-01-01T00:00:00Z,1.4721601,1.7971914,1.1478132,Oregon Coast
1997-01-01T00:00:00Z,1.216885,1.5419981,0.8932477,Oregon Coast
1998-01-01T00:00:00Z,-0.6629602,-0.33909777,-0.9869189,Oregon Coast
1999-01-01T00:00:00Z,0.9415526,1.2666581,0.61736876,Oregon Coast
2000-01-01T00:00:00Z,0.26501524,0.58851284,-0.06083617,Oregon Coast
2001-01-01T00:00:00Z,-1.7295722,-1.4056735,-2.0535026,Oregon Coast
2002-01-01T00:00:00Z,-0.5975977,-0.27401632,-0.92191595,Oregon Coast
2003-01-01T00:00:00Z,-0.27429768,0.049576614,-0.59833276,Oregon Coast
2004-01-01T00:00:00Z,-0.37638313,-0.05264755,-0.7004808,Oregon Coast
2005-01-01T00:00:00Z,-0.5054482,-0.181667,-0.8294916,Oregon Coast
2006-01-01T00:00:00Z,0.93788385,1.2615497,0.6137107,Oregon Coast
2007-01-01T00:00:00Z,0.6128845,0.93659264,0.28874424,Oregon Coast
2008-01-01T00:00:00Z,0.22440988,0.54812986,-0.1000916,Oregon Coast
2009-01-01T00:00:00Z,0.37013534,0.6935726,0.04502128,Oregon Coast
2010-01-01T00:00:00Z,-0.882309,-0.5582121,-1.2061106,Oregon Coast
2011-01-01T00:00:00Z,0.19927037,0.52283174,-0.12508687,Oregon Coast
2012-01-01T00:00:00Z,0.84797806,1.1737043,0.5240278,Oregon Coast
2013-01-01T00:00:00Z,-0.040776476,0.28328758,-0.36458975,Oregon Coast
2014-01-01T00:00:00Z,-0.40705022,-0.083473325,-0.73137695,Oregon Coast
2015-01-01T00:00:00Z,0.66898036,0.99248546,0.34400532,Oregon Coast
2016-01-01T00:00:00Z,0.47447363,0.7978945,0.14937168,Oregon Coast
2017-01-01T00:00:00Z,0.28516507,0.6087237,-0.039840624,Oregon Coast
2018-01-01T00:00:00Z,-0.8111742,-0.48606458,-1.1349512,Oregon Coast
1981-01-01T00:00:00Z,0.6828704,0.94087803,0.4255785,Puget Sound
1982-01-01T00:00:00Z,-0.08726656,0.16978467,-0.34505743,Puget Sound
1983-01-01T00:00:00Z,-0.052690417,0.20424503,-0.31063747,Puget Sound
1984-01-01T00:00:00Z,0.4294014,0.68671197,0.1707113,Puget Sound
1985-01-01T00:00:00Z,-1.0076375,-0.75019264,-1.2647398,Puget Sound
1986-01-01T00:00:00Z,0.19028805,0.44729424,-0.06761446,Puget Sound
1987-01-01T00:00:00Z,-0.14353661,0.11431212,-0.40330708,Puget Sound
1988-01-01T00:00:00Z,-0.8209045,-0.56381017,-1.0780647,Puget Sound
1989-01-01T00:00:00Z,-0.83436733,-0.5773302,-1.0916742,Puget Sound
1990-01-01T00:00:00Z,0.6184777,0.8754905,0.36128882,Puget Sound
1991-01-01T00:00:00Z,1.6913651,1.948268,1.4336734,Puget Sound
1992-01-01T00:00:00Z,-0.43744963,-0.18016052,-0.69465613,Puget Sound
1993-01-01T00:00:00Z,-1.0579202,-0.8009404,-1.315254,Puget Sound
1994-01-01T00:00:00Z,-0.8725185,-0.6152277,-1.1297141,Puget Sound
1995-01-01T00:00:00Z,-0.04644648,0.21046102,-0.30382842,Puget Sound
1996-01-01T00:00:00Z,1.6581059,1.9151231,1.4007797,Puget Sound
1997-01-01T00:00:00Z,0.7167717,0.97383446,0.45955312,Puget Sound
1998-01-01T00:00:00Z,-0.67572165,-0.41854072,-0.93281263,Puget Sound
1999-01-01T00:00:00Z,0.09272542,0.34996128,-0.16435547,Puget Sound
2000-01-01T00:00:00Z,0.067487285,0.3243762,-0.19003186,Puget Sound
2001-01-01T00:00:00Z,-1.3030784,-1.0459213,-1.5601789,Puget Sound
2002-01-01T00:00:00Z,0.4446754,0.701825,0.18733324,Puget Sound
2003-01-01T00:00:00Z,-0.20956361,0.04796318,-0.46665022,Puget Sound
2004-01-01T00:00:00Z,0.78862524,1.0460172,0.5311547,Puget Sound
2005-01-01T00:00:00Z,-0.08396212,0.17294897,-0.3412904,Puget Sound
2006-01-01T00:00:00Z,-0.1510293,0.10602267,-0.40842658,Puget Sound
2007-01-01T00:00:00Z,0.90785193,1.1650645,0.6506855,Puget Sound
2008-01-01T00:00:00Z,0.3839383,0.64133203,0.12681958,Puget Sound
2009-01-01T00:00:00Z,0.47998804,0.7372496,0.22221,Puget Sound
2010-01-01T00:00:00Z,-0.38389328,-0.12658946,-0.6411792,Puget Sound
2011-01-01T00:00:00Z,0.423632,0.68097866,0.1664815,Puget Sound
2012-01-01T00:00:00Z,-0.508724,-0.25161657,-0.7659007,Puget Sound
2013-01-01T00:00:00Z,-0.70403355,-0.4469699,-0.96117145,Puget Sound
2014-01-01T00:00:00Z,-0.4845926,-0.22753137,-0.74181074,Puget Sound
2015-01-01T00:00:00Z,0.09724148,0.3544115,-0.15989831,Puget Sound
2016-01-01T00:00:00Z,0.3620701,0.6191369,0.10477226,Puget Sound
2017-01-01T00:00:00Z,-0.36630893,-0.10904857,-0.6233834,Puget Sound
2018-01-01T00:00:00Z,0.19612956,0.45341122,-0.061083715,Puget Sound
1981-01-01T00:00:00Z,-0.30827177,0.031117165,-0.6475309,Sacramento Winter
1982-01-01T00:00:00Z,0.91576177,1.2556326,0.57294554,Sacramento Winter
1983-01-01T00:00:00Z,1.5545074,1.8938624,1.2128474,Sacramento Winter
1984-01-01T00:00:00Z,0.7408588,1.0796136,0.40096745,Sacramento Winter
