time,upwelling_index,nobs,stdev
1967-01-01T00:00:00Z,-146.8245,124,232.847
1967-02-01T00:00:00Z,-34.0083,112,88.095
1967-03-01T00:00:00Z,-75.6572,124,219.64
1967-04-01T00:00:00Z,2.735,120,37.77
1967-05-01T00:00:00Z,68.0247,124,77.205
1967-06-01T00:00:00Z,79.9463,120,66.745
1967-07-01T00:00:00Z,93.0324,124,77.816
1967-08-01T00:00:00Z,66.287,124,57.812
1967-09-01T00:00:00Z,21.772,120,52.435
1967-10-01T00:00:00Z,-96.9876,124,150.767
1967-11-01T00:00:00Z,-54.5657,120,105.795
1967-12-01T00:00:00Z,-188.1233,124,471.506
1968-01-01T00:00:00Z,-244.3171,124,451.881
1968-02-01T00:00:00Z,-177.4093,116,262.355
1968-03-01T00:00:00Z,-67.2446,124,131.233
1968-04-01T00:00:00Z,47.3943,120,73.338
1968-05-01T00:00:00Z,47.4471,124,76.634
1968-06-01T00:00:00Z,59.4516,120,76.505
1968-07-01T00:00:00Z,81.7683,124,70.669
1968-08-01T00:00:00Z,28.4139,123,50.315
1968-09-01T00:00:00Z,22.8802,120,48.181
1968-10-01T00:00:00Z,-55.5788,123,119.518
1968-11-01T00:00:00Z,-164.0212,120,214.94
1968-12-01T00:00:00Z,-233.8984,124,450.173
1969-01-01T00:00:00Z,-81.4231,123,143.984
1969-02-01T00:00:00Z,-148.7355,112,254.23
1969-03-01T00:00:00Z,-14.325,124,91.033
1969-04-01T00:00:00Z,-33.4305,120,113.558
1969-05-01T00:00:00Z,23.1753,123,63.224
1969-06-01T00:00:00Z,44.2648,120,35.738
1969-07-01T00:00:00Z,69.6663,124,45.53
1969-08-01T00:00:00Z,45.7504,123,43.358
1969-09-01T00:00:00Z,11.4127,120,63.883
1969-10-01T00:00:00Z,-43.8975,123,133.574
1969-11-01T00:00:00Z,-86.6902,120,174.026
1969-12-01T00:00:00Z,-202.3269,124,308.718
1970-01-01T00:00:00Z,-125.5872,124,182.221
1970-02-01T00:00:00Z,-67.7449,112,75.355
1970-03-01T00:00:00Z,-11.9608,124,121.776
1970-04-01T00:00:00Z,18.0926,120,87.727
1970-05-01T00:00:00Z,46.3638,124,74.969
1970-06-01T00:00:00Z,50.9501,120,76.011
1970-07-01T00:00:00Z,63.5174,124,67.297
1970-08-01T00:00:00Z,57.086,123,50.963
1970-09-01T00:00:00Z,20.9061,120,39.685
1970-10-01T00:00:00Z,-39.64,124,121.234
1970-11-01T00:00:00Z,-80.1061,120,148.816
1970-12-01T00:00:00Z,-159.5573,123,257.761
1971-01-01T00:00:00Z,-93.8752,124,335.941
1971-02-01T00:00:00Z,-16.6312,112,96.884
1971-03-01T00:00:00Z,-100.1713,124,219.275
1971-04-01T00:00:00Z,-5.244,120,91.685
1971-05-01T00:00:00Z,49.8744,124,82.638
1971-06-01T00:00:00Z,15.3545,120,39.292
1971-07-01T00:00:00Z,49.9098,124,49.136
1971-08-01T00:00:00Z,23.8553,124,36.28
1971-09-01T00:00:00Z,16.3363,120,55.838
1971-10-01T00:00:00Z,-8.9956,124,105.481
1971-11-01T00:00:00Z,-86.8354,120,167.964
1971-12-01T00:00:00Z,-63.5865,124,178.955
1972-01-01T00:00:00Z,-51.1821,124,148.334
1972-02-01T00:00:00Z,-109.1799,116,169.596
1972-03-01T00:00:00Z,-50.7302,124,115.793
1972-04-01T00:00:00Z,-11.0434,120,85.266
1972-05-01T00:00:00Z,29.269,124,30.936
1972-06-01T00:00:00Z,45.8784,120,44.448
1972-07-01T00:00:00Z,41.7954,124,44.331
1972-08-01T00:00:00Z,40.7856,124,35.658
