time,upwelling_index,nobs,stdev
1967-01-01T00:00:00Z,-2.911,124,53.929
1967-02-01T00:00:00Z,3.207,112,54.364
1967-03-01T00:00:00Z,87.712,124,95.233
1967-04-01T00:00:00Z,114.032,120,90.904
1967-05-01T00:00:00Z,213.484,124,173.976
1967-06-01T00:00:00Z,257.433,120,157.254
1967-07-01T00:00:00Z,200.845,124,120.981
1967-08-01T00:00:00Z,165.62,124,108.227
1967-09-01T00:00:00Z,106.184,120,98.75
1967-10-01T00:00:00Z,41.497,124,114.37
1967-11-01T00:00:00Z,7.451,120,53.637
1967-12-01T00:00:00Z,-20.797,124,130.944
1968-01-01T00:00:00Z,1.555,124,53.588
1968-02-01T00:00:00Z,23.264,116,63.305
1968-03-01T00:00:00Z,76.874,124,90.112
1968-04-01T00:00:00Z,148.154,120,166.962
1968-05-01T00:00:00Z,292.556,124,217.88
1968-06-01T00:00:00Z,277.58,120,181.509
1968-07-01T00:00:00Z,166.104,124,100.319
1968-08-01T00:00:00Z,175.62,123,120.122
1968-09-01T00:00:00Z,152.969,120,141.331
1968-10-01T00:00:00Z,69.648,123,74.184
1968-11-01T00:00:00Z,39.19,120,64.198
1968-12-01T00:00:00Z,19.266,124,92.426
1969-01-01T00:00:00Z,12.014,123,56.996
1969-02-01T00:00:00Z,40.271,112,75.607
1969-03-01T00:00:00Z,99.442,124,121.551
1969-04-01T00:00:00Z,157.96,120,137.782
1969-05-01T00:00:00Z,227.859,123,154.436
1969-06-01T00:00:00Z,236.372,120,124.57
1969-07-01T00:00:00Z,207.522,124,144.958
1969-08-01T00:00:00Z,144.059,123,76.877
1969-09-01T00:00:00Z,142.48,120,124.912
1969-10-01T00:00:00Z,102.383,123,121.989
1969-11-01T00:00:00Z,-16.0,120,64.45
1969-12-01T00:00:00Z,47.587,124,96.563
1970-01-01T00:00:00Z,19.835,124,75.836
1970-02-01T00:00:00Z,29.252,112,81.013
1970-03-01T00:00:00Z,95.017,124,110.462
1970-04-01T00:00:00Z,181.989,120,171.279
1970-05-01T00:00:00Z,237.89,124,214.015
1970-06-01T00:00:00Z,231.505,120,173.342
1970-07-01T00:00:00Z,149.441,124,95.844
1970-08-01T00:00:00Z,170.577,123,112.734
1970-09-01T00:00:00Z,134.169,120,160.512
1970-10-01T00:00:00Z,81.785,124,91.39
1970-11-01T00:00:00Z,22.637,120,85.849
1970-12-01T00:00:00Z,20.772,123,53.763
1971-01-01T00:00:00Z,19.958,124,88.62
1971-02-01T00:00:00Z,95.401,112,130.286
1971-03-01T00:00:00Z,110.856,124,111.077
1971-04-01T00:00:00Z,203.904,120,176.287
1971-05-01T00:00:00Z,225.477,124,176.634
1971-06-01T00:00:00Z,277.403,120,156.905
1971-07-01T00:00:00Z,231.297,124,156.729
1971-08-01T00:00:00Z,123.389,124,94.139
1971-09-01T00:00:00Z,94.172,120,86.209
1971-10-01T00:00:00Z,60.776,124,93.136
1971-11-01T00:00:00Z,36.651,120,111.473
1971-12-01T00:00:00Z,27.802,124,102.685
1972-01-01T00:00:00Z,-12.236,124,114.438
1972-02-01T00:00:00Z,37.622,116,98.657
1972-03-01T00:00:00Z,120.13,124,120.509
1972-04-01T00:00:00Z,157.617,120,134.506
1972-05-01T00:00:00Z,137.756,124,96.867
1972-06-01T00:00:00Z,147.957,120,66.155
1972-07-01T00:00:00Z,138.662,124,93.552
1972-08-01T00:00:00Z,114.367,124,76.684
1972-09-01T00:00:00Z,80.405,120,44.59
1972-10-01T00:00:00Z,33.641,123,47.877
1972-11-01T00:00:00Z,17.015,120,60.731
1972-12-01T00:00:00Z,20.189,92,52.116
1973-01-01T00:00:00Z,23.86,124,64.918
1973-02-01T00:00:00Z,6.109,112,46.22
1973-03-01T00:00:00Z,109.199,124,97.037
1973-04-01T00:00:00Z,149.154,120,143.378
1973-05-01T00:00:00Z,183.18,124,137.101
1973-06-01T00:00:00Z,165.165,120,115.673
1973-07-01T00:00:00Z,156.206,124,79.334
1973-08-01T00:00:00Z,120.063,124,61.395
1973-09-01T00:00:00Z,99.048,120,71.956
1973-10-01T00:00:00Z,45.205,124,56.382
1973-11-01T00:00:00Z,58.593,120,61.934
1973-12-01T00:00:00Z,22.415,124,53.542
1974-01-01T00:00:00Z,2.275,124,112.115
1974-02-01T00:00:00Z,34.489,112,79.94
1974-03-01T00:00:00Z,59.328,124,57.913
1974-04-01T00:00:00Z,116.528,120,94.08
1974-05-01T00:00:00Z,175.58,124,93.088
1974-06-01T00:00:00Z,162.374,120,82.069
1974-07-01T00:00:00Z,115.354,124,71.847
1974-08-01T00:00:00Z,120.053,124,55.752
1974-09-01T00:00:00Z,84.894,120,39.859
1974-10-01T00:00:00Z,60.739,124,80.509
1974-11-01T00:00:00Z,23.425,120,48.35
1974-12-01T00:00:00Z,4.452,124,73.487
1975-01-01T00:00:00Z,13.278,124,93.389
1975-02-01T00:00:00Z,52.469,110,91.177
1975-03-01T00:00:00Z,102.98,124,125.395
1975-04-01T00:00:00Z,112.295,120,75.671
1975-05-01T00:00:00Z,157.03,124,113.578
1975-06-01T00:00:00Z,225.013,120,178.882
1975-07-01T00:00:00Z,175.333,124,83.698
