time,density_anomaly,species_cohort
2008-01-01T00:00:00Z,-0.36527646,"Cassins auklet (No CC, Summer)"
2009-01-01T00:00:00Z,-0.005081959,"Cassins auklet (No CC, Summer)"
2010-01-01T00:00:00Z,-0.42758855,"Cassins auklet (No CC, Summer)"
2011-01-01T00:00:00Z,0.5848904,"Cassins auklet (No CC, Summer)"
2012-01-01T00:00:00Z,0.44073805,"Cassins auklet (No CC, Summer)"
2013-01-01T00:00:00Z,NA,"Cassins auklet (No CC, Summer)"
2014-01-01T00:00:00Z,NA,"Cassins auklet (No CC, Summer)"
2015-01-01T00:00:00Z,0.74944824,"Cassins auklet (No CC, Summer)"
2016-01-01T00:00:00Z,-0.26800755,"Cassins auklet (No CC, Summer)"
2017-01-01T00:00:00Z,0.30833036,"Cassins auklet (No CC, Summer)"
2018-01-01T00:00:00Z,-0.08099886,"Cassins auklet (No CC, Summer)"
2019-01-01T00:00:00Z,0.48942426,"Cassins auklet (No CC, Summer)"
2003-01-01T00:00:00Z,-0.07177876,"Common murre (No CC, Summer)"
2004-01-01T00:00:00Z,-0.41616175,"Common murre (No CC, Summer)"
2005-01-01T00:00:00Z,-0.042768348,"Common murre (No CC, Summer)"
2006-01-01T00:00:00Z,-0.28687108,"Common murre (No CC, Summer)"
2007-01-01T00:00:00Z,-0.3741823,"Common murre (No CC, Summer)"
2008-01-01T00:00:00Z,1.1588796,"Common murre (No CC, Summer)"
2009-01-01T00:00:00Z,-0.6944594,"Common murre (No CC, Summer)"
2010-01-01T00:00:00Z,0.8821185,"Common murre (No CC, Summer)"
2011-01-01T00:00:00Z,0.076053225,"Common murre (No CC, Summer)"
2012-01-01T00:00:00Z,-0.14442037,"Common murre (No CC, Summer)"
2013-01-01T00:00:00Z,NA,"Common murre (No CC, Summer)"
2014-01-01T00:00:00Z,NA,"Common murre (No CC, Summer)"
2015-01-01T00:00:00Z,0.28220844,"Common murre (No CC, Summer)"
2016-01-01T00:00:00Z,-0.10579461,"Common murre (No CC, Summer)"
2017-01-01T00:00:00Z,-0.40649936,"Common murre (No CC, Summer)"
2018-01-01T00:00:00Z,0.18117176,"Common murre (No CC, Summer)"
2019-01-01T00:00:00Z,-0.037495732,"Common murre (No CC, Summer)"
2003-01-01T00:00:00Z,0.64880264,"Sooty shearwater (No CC, Summer)"
2004-01-01T00:00:00Z,-0.06522199,"Sooty shearwater (No CC, Summer)"
2005-01-01T00:00:00Z,-0.17854922,"Sooty shearwater (No CC, Summer)"
2006-01-01T00:00:00Z,-0.03542717,"Sooty shearwater (No CC, Summer)"
2007-01-01T00:00:00Z,0.39189747,"Sooty shearwater (No CC, Summer)"
2008-01-01T00:00:00Z,-0.3809583,"Sooty shearwater (No CC, Summer)"
2009-01-01T00:00:00Z,0.20871484,"Sooty shearwater (No CC, Summer)"
2010-01-01T00:00:00Z,-0.09068461,"Sooty shearwater (No CC, Summer)"
2011-01-01T00:00:00Z,-0.789346,"Sooty shearwater (No CC, Summer)"
2012-01-01T00:00:00Z,-0.5849185,"Sooty shearwater (No CC, Summer)"
2013-01-01T00:00:00Z,NA,"Sooty shearwater (No CC, Summer)"
2014-01-01T00:00:00Z,NA,"Sooty shearwater (No CC, Summer)"
2015-01-01T00:00:00Z,0.8291891,"Sooty shearwater (No CC, Summer)"
2016-01-01T00:00:00Z,0.28166062,"Sooty shearwater (No CC, Summer)"
2017-01-01T00:00:00Z,-0.79341006,"Sooty shearwater (No CC, Summer)"
2018-01-01T00:00:00Z,0.49708572,"Sooty shearwater (No CC, Summer)"
2019-01-01T00:00:00Z,0.06116542,"Sooty shearwater (No CC, Summer)"
1987-01-01T00:00:00Z,0.017515711,"Cassins auklet (So CC, Spring)"
1988-01-01T00:00:00Z,-0.041743904,"Cassins auklet (So CC, Spring)"
1989-01-01T00:00:00Z,-0.019773457,"Cassins auklet (So CC, Spring)"
1990-01-01T00:00:00Z,1.0585766,"Cassins auklet (So CC, Spring)"
1991-01-01T00:00:00Z,-0.06173716,"Cassins auklet (So CC, Spring)"
1992-01-01T00:00:00Z,0.08491275,"Cassins auklet (So CC, Spring)"
1993-01-01T00:00:00Z,0.05777532,"Cassins auklet (So CC, Spring)"
1994-01-01T00:00:00Z,-0.050093926,"Cassins auklet (So CC, Spring)"
1995-01-01T00:00:00Z,-0.10133712,"Cassins auklet (So CC, Spring)"
1996-01-01T00:00:00Z,-0.011060621,"Cassins auklet (So CC, Spring)"
1997-01-01T00:00:00Z,NA,"Cassins auklet (So CC, Spring)"
1998-01-01T00:00:00Z,-0.01800131,"Cassins auklet (So CC, Spring)"
1999-01-01T00:00:00Z,-0.095546395,"Cassins auklet (So CC, Spring)"
2000-01-01T00:00:00Z,-0.09763877,"Cassins auklet (So CC, Spring)"
2001-01-01T00:00:00Z,-0.106154576,"Cassins auklet (So CC, Spring)"
2002-01-01T00:00:00Z,0.06284217,"Cassins auklet (So CC, Spring)"
2003-01-01T00:00:00Z,-0.119472966,"Cassins auklet (So CC, Spring)"
2004-01-01T00:00:00Z,-0.09846694,"Cassins auklet (So CC, Spring)"
2005-01-01T00:00:00Z,0.49179155,"Cassins auklet (So CC, Spring)"
2006-01-01T00:00:00Z,-0.044646878,"Cassins auklet (So CC, Spring)"
2007-01-01T00:00:00Z,NA,"Cassins auklet (So CC, Spring)"
2008-01-01T00:00:00Z,-0.08764904,"Cassins auklet (So CC, Spring)"
2009-01-01T00:00:00Z,-0.012833624,"Cassins auklet (So CC, Spring)"
2010-01-01T00:00:00Z,-0.083654486,"Cassins auklet (So CC, Spring)"
2011-01-01T00:00:00Z,-0.10464386,"Cassins auklet (So CC, Spring)"
2012-01-01T00:00:00Z,-0.08025225,"Cassins auklet (So CC, Spring)"
2013-01-01T00:00:00Z,-0.08991416,"Cassins auklet (So CC, Spring)"
2014-01-01T00:00:00Z,-0.10952263,"Cassins auklet (So CC, Spring)"
2015-01-01T00:00:00Z,-0.051814314,"Cassins auklet (So CC, Spring)"
2016-01-01T00:00:00Z,0.0115553,"Cassins auklet (So CC, Spring)"
2017-01-01T00:00:00Z,-0.099670336,"Cassins auklet (So CC, Spring)"
2018-01-01T00:00:00Z,-0.099670336,"Cassins auklet (So CC, Spring)"
2019-01-01T00:00:00Z,-0.099670336,"Cassins auklet (So CC, Spring)"
1987-01-01T00:00:00Z,-0.15640345,"Common murre (So CC, Spring)"
1988-01-01T00:00:00Z,-0.15640345,"Common murre (So CC, Spring)"
1989-01-01T00:00:00Z,-0.15434991,"Common murre (So CC, Spring)"
1990-01-01T00:00:00Z,-0.15640345,"Common murre (So CC, Spring)"
1991-01-01T00:00:00Z,-0.15357721,"Common murre (So CC, Spring)"
1992-01-01T00:00:00Z,-0.13136621,"Common murre (So CC, Spring)"
1993-01-01T00:00:00Z,-0.12491638,"Common murre (So CC, Spring)"
1994-01-01T00:00:00Z,-0.15640345,"Common murre (So CC, Spring)"
1995-01-01T00:00:00Z,-0.15640345,"Common murre (So CC, Spring)"
1996-01-01T00:00:00Z,-0.15640345,"Common murre (So CC, Spring)"
1997-01-01T00:00:00Z,NA,"Common murre (So CC, Spring)"
1998-01-01T00:00:00Z,-0.15431155,"Common murre (So CC, Spring)"
