time,population,condition
2003-01-01T00:00:00Z,KlamathFall-PctNatural,0.58653
2004-01-01T00:00:00Z,KlamathFall-PctNatural,0.50907
2005-01-01T00:00:00Z,KlamathFall-PctNatural,0.49165
2006-01-01T00:00:00Z,KlamathFall-PctNatural,0.60708
2007-01-01T00:00:00Z,KlamathFall-PctNatural,0.63383
2008-01-01T00:00:00Z,KlamathFall-PctNatural,0.69479
2009-01-01T00:00:00Z,KlamathFall-PctNatural,0.694
2010-01-01T00:00:00Z,KlamathFall-PctNatural,0.673
2011-01-01T00:00:00Z,KlamathFall-PctNatural,0.677
2012-01-01T00:00:00Z,KlamathFall-PctNatural,0.685
2013-01-01T00:00:00Z,KlamathFall-PctNatural,0.775
2014-01-01T00:00:00Z,KlamathFall-PctNatural,0.75
2015-01-01T00:00:00Z,KlamathFall-PctNatural,0.72
2016-01-01T00:00:00Z,KlamathFall-PctNatural,0.8
1985-01-01T00:00:00Z,KlamathFall-PopGR,-0.53642
1986-01-01T00:00:00Z,KlamathFall-PopGR,1.98952
1987-01-01T00:00:00Z,KlamathFall-PopGR,0.05391
1988-01-01T00:00:00Z,KlamathFall-PopGR,0.09878
1989-01-01T00:00:00Z,KlamathFall-PopGR,-0.12562
1990-01-01T00:00:00Z,KlamathFall-PopGR,-0.75236
1991-01-01T00:00:00Z,KlamathFall-PopGR,-0.68522
1992-01-01T00:00:00Z,KlamathFall-PopGR,-0.93927
1993-01-01T00:00:00Z,KlamathFall-PopGR,-0.22118
1994-01-01T00:00:00Z,KlamathFall-PopGR,0.31944
1995-01-01T00:00:00Z,KlamathFall-PopGR,4.28817
1996-01-01T00:00:00Z,KlamathFall-PopGR,-0.09227
1997-01-01T00:00:00Z,KlamathFall-PopGR,-0.19823
1998-01-01T00:00:00Z,KlamathFall-PopGR,-0.12928
1999-01-01T00:00:00Z,KlamathFall-PopGR,-1.03585
2000-01-01T00:00:00Z,KlamathFall-PopGR,0.73975
2001-01-01T00:00:00Z,KlamathFall-PopGR,0.02005
2002-01-01T00:00:00Z,KlamathFall-PopGR,-0.11546
2003-01-01T00:00:00Z,KlamathFall-PopGR,0.08631
2004-01-01T00:00:00Z,KlamathFall-PopGR,-0.61498
2005-01-01T00:00:00Z,KlamathFall-PopGR,-0.42491
2006-01-01T00:00:00Z,KlamathFall-PopGR,-0.57632
2007-01-01T00:00:00Z,KlamathFall-PopGR,-0.04776
2008-01-01T00:00:00Z,KlamathFall-PopGR,-0.2521
2009-01-01T00:00:00Z,KlamathFall-PopGR,0.00809
2010-01-01T00:00:00Z,KlamathFall-PopGR,-0.07736
2011-01-01T00:00:00Z,KlamathFall-PopGR,-0.65889
2012-01-01T00:00:00Z,KlamathFall-PopGR,1.45148
2013-01-01T00:00:00Z,KlamathFall-PopGR,-0.31369
2014-01-01T00:00:00Z,KlamathFall-PopGR,-0.08124
2015-01-01T00:00:00Z,KlamathFall-PopGR,-0.22728
2016-01-01T00:00:00Z,KlamathFall-PopGR,-0.94983
1981-01-01T00:00:00Z,Klamath-AgeDiv,0.99717
1982-01-01T00:00:00Z,Klamath-AgeDiv,1.18089
1983-01-01T00:00:00Z,Klamath-AgeDiv,0.9143
1984-01-01T00:00:00Z,Klamath-AgeDiv,1.09034
1985-01-01T00:00:00Z,Klamath-AgeDiv,1.1384
1986-01-01T00:00:00Z,Klamath-AgeDiv,0.87913
1987-01-01T00:00:00Z,Klamath-AgeDiv,1.02789
1988-01-01T00:00:00Z,Klamath-AgeDiv,1.03892
1989-01-01T00:00:00Z,Klamath-AgeDiv,1.00106
1990-01-01T00:00:00Z,Klamath-AgeDiv,1.03222
1991-01-01T00:00:00Z,Klamath-AgeDiv,0.91606
1992-01-01T00:00:00Z,Klamath-AgeDiv,1.1161
1993-01-01T00:00:00Z,Klamath-AgeDiv,0.7809
1994-01-01T00:00:00Z,Klamath-AgeDiv,1.0873
1995-01-01T00:00:00Z,Klamath-AgeDiv,0.62337
1996-01-01T00:00:00Z,Klamath-AgeDiv,0.7145
1997-01-01T00:00:00Z,Klamath-AgeDiv,1.08229
1998-01-01T00:00:00Z,Klamath-AgeDiv,0.8771
1999-01-01T00:00:00Z,Klamath-AgeDiv,1.15278
2000-01-01T00:00:00Z,Klamath-AgeDiv,0.58431
2001-01-01T00:00:00Z,Klamath-AgeDiv,0.87747
2002-01-01T00:00:00Z,Klamath-AgeDiv,0.93519
