time,social_vulnerability_index,location,region
2009-01-01T00:00:00Z,0.482,"Moss Landing, CA",CCA
2010-01-01T00:00:00Z,1.9812857,"Moss Landing, CA",CCA
2011-01-01T00:00:00Z,3.848,"Moss Landing, CA",CCA
2012-01-01T00:00:00Z,4.832,"Moss Landing, CA",CCA
2013-01-01T00:00:00Z,5.982,"Moss Landing, CA",CCA
2014-01-01T00:00:00Z,6.32,"Moss Landing, CA",CCA
2015-01-01T00:00:00Z,9.320572,"Moss Landing, CA",CCA
2016-01-01T00:00:00Z,1.7468572,"Moss Landing, CA",CCA
2017-01-01T00:00:00Z,-1.7061429,"Moss Landing, CA",CCA
2018-01-01T00:00:00Z,-3.363,"Moss Landing, CA",CCA
2009-01-01T00:00:00Z,2.481,"Point Arena, CA",CCA
2010-01-01T00:00:00Z,4.148,"Point Arena, CA",CCA
2011-01-01T00:00:00Z,4.095,"Point Arena, CA",CCA
2012-01-01T00:00:00Z,4.087,"Point Arena, CA",CCA
2013-01-01T00:00:00Z,2.154,"Point Arena, CA",CCA
2014-01-01T00:00:00Z,1.542,"Point Arena, CA",CCA
2015-01-01T00:00:00Z,-0.25333333,"Point Arena, CA",CCA
2016-01-01T00:00:00Z,1.031,"Point Arena, CA",CCA
2017-01-01T00:00:00Z,0.294,"Point Arena, CA",CCA
2018-01-01T00:00:00Z,0.76,"Point Arena, CA",CCA
2009-01-01T00:00:00Z,-0.72,"San Francisco, CA",CCA
2010-01-01T00:00:00Z,-0.78,"San Francisco, CA",CCA
2011-01-01T00:00:00Z,-0.767,"San Francisco, CA",CCA
2012-01-01T00:00:00Z,-0.805,"San Francisco, CA",CCA
2013-01-01T00:00:00Z,-1.102,"San Francisco, CA",CCA
2014-01-01T00:00:00Z,-1.058,"San Francisco, CA",CCA
2015-01-01T00:00:00Z,-1.084,"San Francisco, CA",CCA
2016-01-01T00:00:00Z,-1.266,"San Francisco, CA",CCA
2017-01-01T00:00:00Z,-1.424,"San Francisco, CA",CCA
2018-01-01T00:00:00Z,-1.601,"San Francisco, CA",CCA
2009-01-01T00:00:00Z,-3.4884167,"Tomales, CA",CCA
2010-01-01T00:00:00Z,-3.959,"Tomales, CA",CCA
2011-01-01T00:00:00Z,-3.718,"Tomales, CA",CCA
2012-01-01T00:00:00Z,-3.75475,"Tomales, CA",CCA
2013-01-01T00:00:00Z,-4.174667,"Tomales, CA",CCA
2014-01-01T00:00:00Z,-3.29775,"Tomales, CA",CCA
2015-01-01T00:00:00Z,-4.446417,"Tomales, CA",CCA
2016-01-01T00:00:00Z,-5.427417,"Tomales, CA",CCA
2017-01-01T00:00:00Z,-5.65475,"Tomales, CA",CCA
2018-01-01T00:00:00Z,-5.251,"Tomales, CA",CCA
2009-01-01T00:00:00Z,7.781,"Crescent City, CA",NCA
2010-01-01T00:00:00Z,7.606,"Crescent City, CA",NCA
2011-01-01T00:00:00Z,7.613,"Crescent City, CA",NCA
2012-01-01T00:00:00Z,6.788,"Crescent City, CA",NCA
2013-01-01T00:00:00Z,5.711,"Crescent City, CA",NCA
2014-01-01T00:00:00Z,6.334,"Crescent City, CA",NCA
2015-01-01T00:00:00Z,6.754,"Crescent City, CA",NCA
2016-01-01T00:00:00Z,6.682,"Crescent City, CA",NCA
2017-01-01T00:00:00Z,6.809,"Crescent City, CA",NCA
2018-01-01T00:00:00Z,6.869,"Crescent City, CA",NCA
2009-01-01T00:00:00Z,1.768,"Eureka, CA",NCA
2010-01-01T00:00:00Z,1.664,"Eureka, CA",NCA
2011-01-01T00:00:00Z,1.635,"Eureka, CA",NCA
2012-01-01T00:00:00Z,1.671,"Eureka, CA",NCA
2013-01-01T00:00:00Z,1.796,"Eureka, CA",NCA
2014-01-01T00:00:00Z,1.643,"Eureka, CA",NCA
2015-01-01T00:00:00Z,1.866,"Eureka, CA",NCA
2016-01-01T00:00:00Z,1.685,"Eureka, CA",NCA
2017-01-01T00:00:00Z,1.78,"Eureka, CA",NCA
2018-01-01T00:00:00Z,1.589,"Eureka, CA",NCA
2009-01-01T00:00:00Z,3.955,"Fort Bragg, CA",NCA
2010-01-01T00:00:00Z,3.305,"Fort Bragg, CA",NCA
2011-01-01T00:00:00Z,2.918,"Fort Bragg, CA",NCA
2012-01-01T00:00:00Z,2.465,"Fort Bragg, CA",NCA
2013-01-01T00:00:00Z,2.855,"Fort Bragg, CA",NCA
2014-01-01T00:00:00Z,2.534,"Fort Bragg, CA",NCA
2015-01-01T00:00:00Z,2.225,"Fort Bragg, CA",NCA
2016-01-01T00:00:00Z,2.219,"Fort Bragg, CA",NCA
2017-01-01T00:00:00Z,2.213,"Fort Bragg, CA",NCA
2018-01-01T00:00:00Z,2.544,"Fort Bragg, CA",NCA
2010-01-01T00:00:00Z,-1.869,"Shelter Cove, CA",NCA
2011-01-01T00:00:00Z,-2.233,"Shelter Cove, CA",NCA
2012-01-01T00:00:00Z,1.791,"Shelter Cove, CA",NCA
2013-01-01T00:00:00Z,0.626,"Shelter Cove, CA",NCA
2014-01-01T00:00:00Z,2.903,"Shelter Cove, CA",NCA
2015-01-01T00:00:00Z,2.775,"Shelter Cove, CA",NCA
2016-01-01T00:00:00Z,2.775,"Shelter Cove, CA",NCA
2017-01-01T00:00:00Z,0.915,"Shelter Cove, CA",NCA
2018-01-01T00:00:00Z,0.301,"Shelter Cove, CA",NCA
2009-01-01T00:00:00Z,-1.577,"Trinidad, CA",NCA
2010-01-01T00:00:00Z,-3.631,"Trinidad, CA",NCA
2011-01-01T00:00:00Z,-3.928,"Trinidad, CA",NCA
2012-01-01T00:00:00Z,-3.732,"Trinidad, CA",NCA
2013-01-01T00:00:00Z,-2.588,"Trinidad, CA",NCA
2014-01-01T00:00:00Z,-2.661,"Trinidad, CA",NCA
2015-01-01T00:00:00Z,-2.483,"Trinidad, CA",NCA
2016-01-01T00:00:00Z,-2.763,"Trinidad, CA",NCA
2017-01-01T00:00:00Z,-3.402,"Trinidad, CA",NCA
2018-01-01T00:00:00Z,-1.084,"Trinidad, CA",NCA
2009-01-01T00:00:00Z,0.792,"Astoria, OR",OR
2010-01-01T00:00:00Z,0.71,"Astoria, OR",OR
2011-01-01T00:00:00Z,0.688,"Astoria, OR",OR
2012-01-01T00:00:00Z,1.578,"Astoria, OR",OR
2013-01-01T00:00:00Z,0.794,"Astoria, OR",OR
2014-01-01T00:00:00Z,0.746,"Astoria, OR",OR
2015-01-01T00:00:00Z,0.599,"Astoria, OR",OR
2016-01-01T00:00:00Z,0.543,"Astoria, OR",OR
2017-01-01T00:00:00Z,-0.121,"Astoria, OR",OR
2018-01-01T00:00:00Z,-0.487,"Astoria, OR",OR
2009-01-01T00:00:00Z,4.396875,"Beaver, OR",OR
2010-01-01T00:00:00Z,5.780875,"Beaver, OR",OR
2011-01-01T00:00:00Z,5.715,"Beaver, OR",OR
2012-01-01T00:00:00Z,1.923,"Beaver, OR",OR
2013-01-01T00:00:00Z,0.786,"Beaver, OR",OR
2014-01-01T00:00:00Z,0.867,"Beaver, OR",OR
2015-01-01T00:00:00Z,0.654,"Beaver, OR",OR
2016-01-01T00:00:00Z,-0.387,"Beaver, OR",OR
2017-01-01T00:00:00Z,0.041,"Beaver, OR",OR
2018-01-01T00:00:00Z,1.811,"Beaver, OR",OR
2009-01-01T00:00:00Z,0.729,"Brookings, OR",OR
2010-01-01T00:00:00Z,0.535,"Brookings, OR",OR
2011-01-01T00:00:00Z,0.466,"Brookings, OR",OR
2012-01-01T00:00:00Z,-0.199,"Brookings, OR",OR
2013-01-01T00:00:00Z,0.046,"Brookings, OR",OR
2014-01-01T00:00:00Z,-0.351,"Brookings, OR",OR
2015-01-01T00:00:00Z,-0.003,"Brookings, OR",OR
2016-01-01T00:00:00Z,0.01,"Brookings, OR",OR
2017-01-01T00:00:00Z,0.445,"Brookings, OR",OR
2018-01-01T00:00:00Z,-0.245,"Brookings, OR",OR
2009-01-01T00:00:00Z,1.708,"Cloverdale, OR",OR
2010-01-01T00:00:00Z,2.131,"Cloverdale, OR",OR
2011-01-01T00:00:00Z,2.241,"Cloverdale, OR",OR
2012-01-01T00:00:00Z,3.121,"Cloverdale, OR",OR
2013-01-01T00:00:00Z,1.741,"Cloverdale, OR",OR
2014-01-01T00:00:00Z,1.448,"Cloverdale, OR",OR
2015-01-01T00:00:00Z,1.145,"Cloverdale, OR",OR
2016-01-01T00:00:00Z,1.583,"Cloverdale, OR",OR
2017-01-01T00:00:00Z,0.034,"Cloverdale, OR",OR
2018-01-01T00:00:00Z,0.663,"Cloverdale, OR",OR
2009-01-01T00:00:00Z,2.322,"Coos Bay, OR",OR
2010-01-01T00:00:00Z,2.048,"Coos Bay, OR",OR
2011-01-01T00:00:00Z,1.855,"Coos Bay, OR",OR
2012-01-01T00:00:00Z,2.057,"Coos Bay, OR",OR
2013-01-01T00:00:00Z,2.199,"Coos Bay, OR",OR
2014-01-01T00:00:00Z,2.133,"Coos Bay, OR",OR
2015-01-01T00:00:00Z,2.496,"Coos Bay, OR",OR
2016-01-01T00:00:00Z,2.491,"Coos Bay, OR",OR
2017-01-01T00:00:00Z,2.651,"Coos Bay, OR",OR
2018-01-01T00:00:00Z,2.1,"Coos Bay, OR",OR
2009-01-01T00:00:00Z,2.081,"Florence, OR",OR
2010-01-01T00:00:00Z,1.86,"Florence, OR",OR
2011-01-01T00:00:00Z,1.525,"Florence, OR",OR
2012-01-01T00:00:00Z,1.375,"Florence, OR",OR
2013-01-01T00:00:00Z,2.4,"Florence, OR",OR
2014-01-01T00:00:00Z,2.67,"Florence, OR",OR
2015-01-01T00:00:00Z,2.548,"Florence, OR",OR
2016-01-01T00:00:00Z,3.031,"Florence, OR",OR
2017-01-01T00:00:00Z,3.552,"Florence, OR",OR
2018-01-01T00:00:00Z,2.709,"Florence, OR",OR
2009-01-01T00:00:00Z,2.349,"Garibaldi, OR",OR
2010-01-01T00:00:00Z,2.671,"Garibaldi, OR",OR
2011-01-01T00:00:00Z,2.531,"Garibaldi, OR",OR
2012-01-01T00:00:00Z,2.662,"Garibaldi, OR",OR
2013-01-01T00:00:00Z,1.441,"Garibaldi, OR",OR
2014-01-01T00:00:00Z,1.718,"Garibaldi, OR",OR
2015-01-01T00:00:00Z,1.571,"Garibaldi, OR",OR
2016-01-01T00:00:00Z,2.191,"Garibaldi, OR",OR
2017-01-01T00:00:00Z,1.498,"Garibaldi, OR",OR
2018-01-01T00:00:00Z,1.038,"Garibaldi, OR",OR
2009-01-01T00:00:00Z,1.425,"Newport, OR",OR
2010-01-01T00:00:00Z,1.472,"Newport, OR",OR
2011-01-01T00:00:00Z,2.369,"Newport, OR",OR
2012-01-01T00:00:00Z,1.521,"Newport, OR",OR
2013-01-01T00:00:00Z,1.243,"Newport, OR",OR
2014-01-01T00:00:00Z,1.179,"Newport, OR",OR
2015-01-01T00:00:00Z,1.348,"Newport, OR",OR
2016-01-01T00:00:00Z,1.585,"Newport, OR",OR
2017-01-01T00:00:00Z,1.612,"Newport, OR",OR
2018-01-01T00:00:00Z,1.226,"Newport, OR",OR
2009-01-01T00:00:00Z,1.971,"Port Orford, OR",OR
2010-01-01T00:00:00Z,1.794,"Port Orford, OR",OR
2011-01-01T00:00:00Z,1.941,"Port Orford, OR",OR
2012-01-01T00:00:00Z,3.605,"Port Orford, OR",OR
2013-01-01T00:00:00Z,3.689,"Port Orford, OR",OR
2014-01-01T00:00:00Z,5.114,"Port Orford, OR",OR
2015-01-01T00:00:00Z,6.394,"Port Orford, OR",OR
2016-01-01T00:00:00Z,6.591,"Port Orford, OR",OR
2017-01-01T00:00:00Z,6.687,"Port Orford, OR",OR
2018-01-01T00:00:00Z,4.491,"Port Orford, OR",OR
2009-01-01T00:00:00Z,2.822,"Tillamook, OR",OR
2010-01-01T00:00:00Z,3.67,"Tillamook, OR",OR
2011-01-01T00:00:00Z,3.045,"Tillamook, OR",OR
2012-01-01T00:00:00Z,2.439,"Tillamook, OR",OR
2013-01-01T00:00:00Z,1.679,"Tillamook, OR",OR
2014-01-01T00:00:00Z,3.201,"Tillamook, OR",OR
2015-01-01T00:00:00Z,2.924,"Tillamook, OR",OR
