time,SWE_anomaly,Seup,Selo,location
1985-01-01T00:00:00Z,0.7523917,1.0217135,0.4824623,Columbia Unglaciated
1986-01-01T00:00:00Z,-0.24352813,0.026075246,-0.51311934,Columbia Unglaciated
1987-01-01T00:00:00Z,-0.47374117,-0.20447423,-0.74278367,Columbia Unglaciated
1988-01-01T00:00:00Z,-0.43169343,-0.1628019,-0.70100194,Columbia Unglaciated
1989-01-01T00:00:00Z,0.7719015,1.0407058,0.50216436,Columbia Unglaciated
1990-01-01T00:00:00Z,-0.29743966,-0.028448671,-0.5667906,Columbia Unglaciated
1991-01-01T00:00:00Z,-0.40690067,-0.13762613,-0.67596877,Columbia Unglaciated
1992-01-01T00:00:00Z,-1.2062865,-0.936909,-1.4752948,Columbia Unglaciated
1993-01-01T00:00:00Z,-0.056761492,0.21217829,-0.32585117,Columbia Unglaciated
1994-01-01T00:00:00Z,-0.8615996,-0.5928381,-1.1307856,Columbia Unglaciated
1995-01-01T00:00:00Z,-0.2019895,0.06607885,-0.4698938,Columbia Unglaciated
1996-01-01T00:00:00Z,-0.017466264,0.2497327,-0.2848314,Columbia Unglaciated
1997-01-01T00:00:00Z,1.0331504,1.3005474,0.7658641,Columbia Unglaciated
1998-01-01T00:00:00Z,-0.30040714,-0.03334485,-0.56781703,Columbia Unglaciated
1999-01-01T00:00:00Z,1.40893,1.676829,1.1417435,Columbia Unglaciated
2000-01-01T00:00:00Z,0.22956003,0.49657524,-0.037980653,Columbia Unglaciated
2001-01-01T00:00:00Z,-0.9732671,-0.70707524,-1.2400506,Columbia Unglaciated
2002-01-01T00:00:00Z,0.391792,0.65771455,0.12559254,Columbia Unglaciated
2003-01-01T00:00:00Z,-0.48173627,-0.21608609,-0.7478621,Columbia Unglaciated
2004-01-01T00:00:00Z,-0.33668563,-0.07105328,-0.6027138,Columbia Unglaciated
2005-01-01T00:00:00Z,-1.0176587,-0.7519459,-1.283625,Columbia Unglaciated
