time,flow_anomaly_1_day_max,Seup,Selo,location
2002-01-01T00:00:00Z,-0.24982569,0.09755677,-0.5971464,Columbia Unglaciated
2003-01-01T00:00:00Z,-0.04897799,0.2981665,-0.39674228,Columbia Unglaciated
2004-01-01T00:00:00Z,-0.50083506,-0.15376465,-0.84839535,Columbia Unglaciated
2005-01-01T00:00:00Z,-0.5753478,-0.22763045,-0.9225756,Columbia Unglaciated
2006-01-01T00:00:00Z,0.6514339,0.99863136,0.30392352,Columbia Unglaciated
2007-01-01T00:00:00Z,-0.37787375,-0.030328777,-0.72514856,Columbia Unglaciated
2008-01-01T00:00:00Z,-0.04005291,0.30723152,-0.38778725,Columbia Unglaciated
2009-01-01T00:00:00Z,0.34889364,0.6965982,0.0013854314,Columbia Unglaciated
2010-01-01T00:00:00Z,-0.24008676,0.10789588,-0.59033877,Columbia Unglaciated
2011-01-01T00:00:00Z,0.5930371,0.9400247,0.24431038,Columbia Unglaciated
2012-01-01T00:00:00Z,0.18164678,0.528576,-0.16617303,Columbia Unglaciated
2013-01-01T00:00:00Z,-0.4118817,-0.064716205,-0.7592522,Columbia Unglaciated
2014-01-01T00:00:00Z,-0.1262818,0.22064672,-0.47462907,Columbia Unglaciated
2015-01-01T00:00:00Z,-0.44512704,-0.09720466,-0.79253864,Columbia Unglaciated
2016-01-01T00:00:00Z,-0.14819688,0.19904882,-0.49560106,Columbia Unglaciated
2017-01-01T00:00:00Z,0.72550035,1.0730222,0.37830758,Columbia Unglaciated
2018-01-01T00:00:00Z,-0.26510385,0.08187048,-0.6128016,Columbia Unglaciated
2019-01-01T00:00:00Z,0.4979908,0.8450402,0.1493096,Columbia Unglaciated
2020-01-01T00:00:00Z,-0.039885882,0.30800942,-0.3881575,Columbia Unglaciated
1981-01-01T00:00:00Z,-0.2951805,0.10336442,-0.6931243,OR & N CA Coast
1982-01-01T00:00:00Z,1.5770608,1.975745,1.1788168,OR & N CA Coast
1983-01-01T00:00:00Z,0.93257195,1.3307222,0.53455013,OR & N CA Coast
1984-01-01T00:00:00Z,-0.010099862,0.3880204,-0.40941066,OR & N CA Coast
1985-01-01T00:00:00Z,-0.37665662,0.021348298,-0.7746944,OR & N CA Coast
1986-01-01T00:00:00Z,1.0700084,1.4674683,0.6707628,OR & N CA Coast
1987-01-01T00:00:00Z,-0.55907667,-0.16103695,-0.95717,OR & N CA Coast
1988-01-01T00:00:00Z,-0.543532,-0.14582036,-0.9418743,OR & N CA Coast
1989-01-01T00:00:00Z,-0.35158938,0.04623542,-0.74994,OR & N CA Coast
1990-01-01T00:00:00Z,-0.42482784,-0.026206406,-0.8230542,OR & N CA Coast
1991-01-01T00:00:00Z,-0.6244579,-0.2258721,-1.0226642,OR & N CA Coast
1992-01-01T00:00:00Z,-0.7874097,-0.389314,-1.1855019,OR & N CA Coast
1993-01-01T00:00:00Z,0.17268711,0.57060385,-0.22553067,OR & N CA Coast
1994-01-01T00:00:00Z,-0.968238,-0.5698019,-1.3660592,OR & N CA Coast
1995-01-01T00:00:00Z,0.7959138,1.1944373,0.3981421,OR & N CA Coast
1996-01-01T00:00:00Z,0.8152233,1.2163421,0.415767,OR & N CA Coast
1997-01-01T00:00:00Z,1.6766105,2.077297,1.2715281,OR & N CA Coast
1998-01-01T00:00:00Z,0.24852936,0.646032,-0.15032355,OR & N CA Coast
1999-01-01T00:00:00Z,0.43197128,0.8305061,0.03390433,OR & N CA Coast
2000-01-01T00:00:00Z,0.25099126,0.65049565,-0.1472005,OR & N CA Coast
2001-01-01T00:00:00Z,-1.2167357,-0.81886244,-1.6148801,OR & N CA Coast
2002-01-01T00:00:00Z,-0.43497142,-0.03707305,-0.83309096,OR & N CA Coast
2003-01-01T00:00:00Z,-0.12836328,0.2692808,-0.52682257,OR & N CA Coast
2004-01-01T00:00:00Z,-0.13491021,0.2628346,-0.5335441,OR & N CA Coast
2005-01-01T00:00:00Z,-0.38331684,0.01446771,-0.78174263,OR & N CA Coast
2006-01-01T00:00:00Z,1.0936818,1.4934926,0.6911245,OR & N CA Coast
2007-01-01T00:00:00Z,-0.12403426,0.2744036,-0.5218721,OR & N CA Coast
2008-01-01T00:00:00Z,-0.078514695,0.32067332,-0.47683725,OR & N CA Coast
2009-01-01T00:00:00Z,-0.1459953,0.2522312,-0.5439623,OR & N CA Coast
2010-01-01T00:00:00Z,-0.59192145,-0.19392192,-0.989966,OR & N CA Coast
2011-01-01T00:00:00Z,0.030233271,0.4282084,-0.3678562,OR & N CA Coast
2012-01-01T00:00:00Z,0.07971813,0.47781557,-0.3182868,OR & N CA Coast
2013-01-01T00:00:00Z,0.0031244566,0.40096277,-0.39506292,OR & N CA Coast
2014-01-01T00:00:00Z,-0.78568196,-0.3881024,-1.1850505,OR & N CA Coast
2015-01-01T00:00:00Z,-0.09236983,0.30656755,-0.49427855,OR & N CA Coast
2016-01-01T00:00:00Z,0.24769829,0.6459383,-0.15036103,OR & N CA Coast
2017-01-01T00:00:00Z,0.6954816,1.0935817,0.29751512,OR & N CA Coast
2018-01-01T00:00:00Z,-0.64328283,-0.24468566,-1.0415801,OR & N CA Coast
2019-01-01T00:00:00Z,0.3880045,0.78642523,-0.012725599,OR & N CA Coast
2020-01-01T00:00:00Z,-0.775087,-0.37648606,-1.1732413,OR & N CA Coast
1981-01-01T00:00:00Z,-0.32477212,0.07052716,-0.71827984,S CA Bight
1982-01-01T00:00:00Z,0.24373235,0.64294237,-0.15068798,S CA Bight
1983-01-01T00:00:00Z,1.6039865,1.9972304,1.2059608,S CA Bight
1984-01-01T00:00:00Z,-0.22697437,0.16790089,-0.6206826,S CA Bight
1985-01-01T00:00:00Z,-0.51496196,-0.12057517,-0.90905106,S CA Bight
1986-01-01T00:00:00Z,0.29275447,0.6916321,-0.1015668,S CA Bight
1987-01-01T00:00:00Z,-0.46708113,-0.07213347,-0.86064774,S CA Bight
1988-01-01T00:00:00Z,-0.50841725,-0.11383401,-0.9037492,S CA Bight
