time,hci_regn1,hci_regn2,hci_regn3,hci_regn4
1986-01-01T00:00:00Z,0.82801825,0.5338346,0.5960699,0.45447284
1986-02-01T00:00:00Z,0.5455581,0.59398496,0.22707424,0.38658148
1986-03-01T00:00:00Z,0.25284737,0.0,0.02838428,0.3402556
1986-04-01T00:00:00Z,0.41116172,0.46917292,0.17467248,0.37140575
1986-05-01T00:00:00Z,0.9988611,0.28721803,0.45633188,0.48801917
1986-06-01T00:00:00Z,0.2357631,0.0962406,0.14847161,0.4888179
1986-07-01T00:00:00Z,0.3029613,0.33984962,0.47379914,0.4608626
1986-08-01T00:00:00Z,0.62756264,0.86315787,0.6779476,0.51757187
1986-09-01T00:00:00Z,0.5170843,0.54285717,0.30895197,0.5638978
1986-10-01T00:00:00Z,0.54214126,0.6165413,0.45305678,0.42891374
1986-11-01T00:00:00Z,0.35307518,0.37443608,0.2117904,0.36900958
1986-12-01T00:00:00Z,0.09339408,0.22556391,0.0021834061,0.20127796
1987-01-01T00:00:00Z,0.12528473,0.17593984,0.2838428,0.40814698
1987-02-01T00:00:00Z,0.21070614,0.47218046,0.12227074,0.38099042
1987-03-01T00:00:00Z,0.20045558,0.061654136,0.3580786,0.43210864
1987-04-01T00:00:00Z,0.06719818,0.094736844,0.17248908,0.41773164
1987-05-01T00:00:00Z,0.3712984,0.23308271,0.20633188,0.40415335
1987-06-01T00:00:00Z,0.84168565,0.49473685,0.26200873,0.5063898
1987-07-01T00:00:00Z,0.46013668,0.15639098,0.17467248,0.76757187
1987-08-01T00:00:00Z,0.49658313,0.6270677,0.49563318,0.51916933
1987-09-01T00:00:00Z,0.40888384,0.606015,0.22489083,0.46485624
1987-10-01T00:00:00Z,0.18451025,0.2075188,0.22270742,0.30670926
1987-11-01T00:00:00Z,0.078587696,0.07067669,0.060043667,0.3298722
1987-12-01T00:00:00Z,0.06833713,0.4255639,0.24672489,0.53434503
1988-01-01T00:00:00Z,0.43394077,0.82857144,0.9181223,0.850639
1988-02-01T00:00:00Z,0.7255125,0.84210527,0.6681223,0.49121407
1988-03-01T00:00:00Z,0.6047836,0.8015038,0.62772924,0.40814698
1988-04-01T00:00:00Z,0.4191344,0.7323308,0.1812227,0.31789136
1988-05-01T00:00:00Z,0.9988611,0.11729323,0.26091704,0.5207668
1988-06-01T00:00:00Z,0.738041,0.07969925,0.17576419,0.59584665
1988-07-01T00:00:00Z,0.34851936,0.4255639,0.5458515,0.5183706
1988-08-01T00:00:00Z,0.55580866,0.83308274,0.5327511,0.47044727
