time,species_group,relative_stock_status
1917-01-01T00:00:00Z,Arrowtooth,1.0
1918-01-01T00:00:00Z,Arrowtooth,1.0
1919-01-01T00:00:00Z,Arrowtooth,1.0
1920-01-01T00:00:00Z,Arrowtooth,1.0
1921-01-01T00:00:00Z,Arrowtooth,1.0
1922-01-01T00:00:00Z,Arrowtooth,1.0
1923-01-01T00:00:00Z,Arrowtooth,1.0
1924-01-01T00:00:00Z,Arrowtooth,1.0
1925-01-01T00:00:00Z,Arrowtooth,1.0
1926-01-01T00:00:00Z,Arrowtooth,1.0
1927-01-01T00:00:00Z,Arrowtooth,1.0
1928-01-01T00:00:00Z,Arrowtooth,1.0
1929-01-01T00:00:00Z,Arrowtooth,1.0
1930-01-01T00:00:00Z,Arrowtooth,0.9999427
1931-01-01T00:00:00Z,Arrowtooth,0.9999253
1932-01-01T00:00:00Z,Arrowtooth,0.9999091
1933-01-01T00:00:00Z,Arrowtooth,0.99978584
1934-01-01T00:00:00Z,Arrowtooth,0.99971235
1935-01-01T00:00:00Z,Arrowtooth,0.9996688
1936-01-01T00:00:00Z,Arrowtooth,0.99957913
1937-01-01T00:00:00Z,Arrowtooth,0.9992567
1938-01-01T00:00:00Z,Arrowtooth,0.99777997
1939-01-01T00:00:00Z,Arrowtooth,0.99775255
1940-01-01T00:00:00Z,Arrowtooth,0.9932265
1941-01-01T00:00:00Z,Arrowtooth,0.9868665
1942-01-01T00:00:00Z,Arrowtooth,0.9785727
1943-01-01T00:00:00Z,Arrowtooth,0.97498804
1944-01-01T00:00:00Z,Arrowtooth,0.95853126
1945-01-01T00:00:00Z,Arrowtooth,0.9558978
1946-01-01T00:00:00Z,Arrowtooth,0.95685905
1947-01-01T00:00:00Z,Arrowtooth,0.9578801
1948-01-01T00:00:00Z,Arrowtooth,0.9566935
1949-01-01T00:00:00Z,Arrowtooth,0.9505563
1950-01-01T00:00:00Z,Arrowtooth,0.9422675
1951-01-01T00:00:00Z,Arrowtooth,0.9440119
1952-01-01T00:00:00Z,Arrowtooth,0.94465685
1953-01-01T00:00:00Z,Arrowtooth,0.94514
1954-01-01T00:00:00Z,Arrowtooth,0.93632704
1955-01-01T00:00:00Z,Arrowtooth,0.940213
1956-01-01T00:00:00Z,Arrowtooth,0.9416611
1957-01-01T00:00:00Z,Arrowtooth,0.8946005
1958-01-01T00:00:00Z,Arrowtooth,0.86219007
1959-01-01T00:00:00Z,Arrowtooth,0.8362766
1960-01-01T00:00:00Z,Arrowtooth,0.8092973
1961-01-01T00:00:00Z,Arrowtooth,0.7893542
1962-01-01T00:00:00Z,Arrowtooth,0.7659335
1963-01-01T00:00:00Z,Arrowtooth,0.74769497
1964-01-01T00:00:00Z,Arrowtooth,0.7334047
1965-01-01T00:00:00Z,Arrowtooth,0.7180474
1966-01-01T00:00:00Z,Arrowtooth,0.7097574
1967-01-01T00:00:00Z,Arrowtooth,0.70202893
1968-01-01T00:00:00Z,Arrowtooth,0.69722027
1969-01-01T00:00:00Z,Arrowtooth,0.6861163
1970-01-01T00:00:00Z,Arrowtooth,0.65377426
1971-01-01T00:00:00Z,Arrowtooth,0.60910183
1972-01-01T00:00:00Z,Arrowtooth,0.5582274
1973-01-01T00:00:00Z,Arrowtooth,0.5041407
1974-01-01T00:00:00Z,Arrowtooth,0.4542138
1975-01-01T00:00:00Z,Arrowtooth,0.43739596
1976-01-01T00:00:00Z,Arrowtooth,0.4524333
1977-01-01T00:00:00Z,Arrowtooth,0.4571585
1978-01-01T00:00:00Z,Arrowtooth,0.47585648
1979-01-01T00:00:00Z,Arrowtooth,0.50167906
1980-01-01T00:00:00Z,Arrowtooth,0.5239368
1981-01-01T00:00:00Z,Arrowtooth,0.56749487
1982-01-01T00:00:00Z,Arrowtooth,0.59238607
