time,species_group,mean_cpue,Seup,Selo
2005-01-01T00:00:00Z,YOY sanddabs,-1.0621014,NA,NA
2006-01-01T00:00:00Z,YOY sanddabs,-1.354162,NA,NA
2007-01-01T00:00:00Z,YOY sanddabs,-1.1523647,NA,NA
2008-01-01T00:00:00Z,YOY sanddabs,-1.0077847,NA,NA
2009-01-01T00:00:00Z,YOY sanddabs,-0.8822418,NA,NA
2010-01-01T00:00:00Z,YOY sanddabs,0.40985638,NA,NA
2011-01-01T00:00:00Z,YOY sanddabs,0.73756564,NA,NA
2012-01-01T00:00:00Z,YOY sanddabs,0.5194674,NA,NA
2013-01-01T00:00:00Z,YOY sanddabs,1.9263636,NA,NA
2014-01-01T00:00:00Z,YOY sanddabs,1.8061516,NA,NA
2015-01-01T00:00:00Z,YOY sanddabs,2.0860329,NA,NA
2016-01-01T00:00:00Z,YOY sanddabs,0.64734346,NA,NA
2017-01-01T00:00:00Z,YOY sanddabs,-0.07799369,NA,NA
2018-01-01T00:00:00Z,YOY sanddabs,0.5109766,NA,NA
2019-01-01T00:00:00Z,YOY sanddabs,-1.3602602,NA,NA
2020-01-01T00:00:00Z,YOY sanddabs,-1.2716258,NA,NA
1990-01-01T00:00:00Z,YOY Pacific hake,0.09377186,NA,NA
1991-01-01T00:00:00Z,YOY Pacific hake,0.08811497,NA,NA
1992-01-01T00:00:00Z,YOY Pacific hake,-0.7667482,NA,NA
1993-01-01T00:00:00Z,YOY Pacific hake,1.7505752,NA,NA
1994-01-01T00:00:00Z,YOY Pacific hake,0.56173533,NA,NA
1995-01-01T00:00:00Z,YOY Pacific hake,-1.0772408,NA,NA
1996-01-01T00:00:00Z,YOY Pacific hake,0.48271635,NA,NA
1997-01-01T00:00:00Z,YOY Pacific hake,0.018018765,NA,NA
1998-01-01T00:00:00Z,YOY Pacific hake,-1.0472636,NA,NA
1999-01-01T00:00:00Z,YOY Pacific hake,0.5355823,NA,NA
2000-01-01T00:00:00Z,YOY Pacific hake,0.71526533,NA,NA
2001-01-01T00:00:00Z,YOY Pacific hake,0.6038048,NA,NA
2002-01-01T00:00:00Z,YOY Pacific hake,0.25674418,NA,NA
2003-01-01T00:00:00Z,YOY Pacific hake,-0.6439923,NA,NA
2004-01-01T00:00:00Z,YOY Pacific hake,1.4124464,NA,NA
2005-01-01T00:00:00Z,YOY Pacific hake,-2.1042626,NA,NA
2006-01-01T00:00:00Z,YOY Pacific hake,-1.9788449,NA,NA
2007-01-01T00:00:00Z,YOY Pacific hake,-1.0630587,NA,NA
2008-01-01T00:00:00Z,YOY Pacific hake,-0.37095222,NA,NA
2009-01-01T00:00:00Z,YOY Pacific hake,-0.27318364,NA,NA
2010-01-01T00:00:00Z,YOY Pacific hake,0.104213774,NA,NA
2011-01-01T00:00:00Z,YOY Pacific hake,-0.3476532,NA,NA
2012-01-01T00:00:00Z,YOY Pacific hake,-0.22974995,NA,NA
2013-01-01T00:00:00Z,YOY Pacific hake,0.9462123,NA,NA
2014-01-01T00:00:00Z,YOY Pacific hake,-0.48024797,NA,NA
2015-01-01T00:00:00Z,YOY Pacific hake,1.0020616,NA,NA
2016-01-01T00:00:00Z,YOY Pacific hake,2.0665019,NA,NA
2017-01-01T00:00:00Z,YOY Pacific hake,0.74147195,NA,NA
2018-01-01T00:00:00Z,YOY Pacific hake,0.87224,NA,NA
2019-01-01T00:00:00Z,YOY Pacific hake,-0.40530425,NA,NA
2020-01-01T00:00:00Z,YOY Pacific hake,-1.4629751,NA,NA
1990-01-01T00:00:00Z,Myctophids,0.60788006,NA,NA
1991-01-01T00:00:00Z,Myctophids,-0.88081753,NA,NA
1992-01-01T00:00:00Z,Myctophids,1.3756711,NA,NA
1993-01-01T00:00:00Z,Myctophids,1.1616881,NA,NA
1994-01-01T00:00:00Z,Myctophids,0.7627584,NA,NA
1995-01-01T00:00:00Z,Myctophids,0.028588807,NA,NA
1996-01-01T00:00:00Z,Myctophids,1.039774,NA,NA
1997-01-01T00:00:00Z,Myctophids,-0.77927715,NA,NA
1998-01-01T00:00:00Z,Myctophids,-0.3759803,NA,NA
1999-01-01T00:00:00Z,Myctophids,-1.3875761,NA,NA
2000-01-01T00:00:00Z,Myctophids,-1.3469588,NA,NA
2001-01-01T00:00:00Z,Myctophids,-1.1291031,NA,NA
2002-01-01T00:00:00Z,Myctophids,-0.30587325,NA,NA
2003-01-01T00:00:00Z,Myctophids,1.2018532,NA,NA
2004-01-01T00:00:00Z,Myctophids,0.9676498,NA,NA
2005-01-01T00:00:00Z,Myctophids,0.33951288,NA,NA
2006-01-01T00:00:00Z,Myctophids,0.04580057,NA,NA
2007-01-01T00:00:00Z,Myctophids,-0.30685684,NA,NA
2008-01-01T00:00:00Z,Myctophids,0.085583515,NA,NA
2009-01-01T00:00:00Z,Myctophids,1.6885041,NA,NA
2010-01-01T00:00:00Z,Myctophids,1.993332,NA,NA
2011-01-01T00:00:00Z,Myctophids,-1.8291432,NA,NA
2012-01-01T00:00:00Z,Myctophids,-1.1154977,NA,NA
2013-01-01T00:00:00Z,Myctophids,0.7558387,NA,NA
2014-01-01T00:00:00Z,Myctophids,0.76509655,NA,NA
2015-01-01T00:00:00Z,Myctophids,-1.201161,NA,NA
2016-01-01T00:00:00Z,Myctophids,0.07131552,NA,NA
2017-01-01T00:00:00Z,Myctophids,-0.6897997,NA,NA
2018-01-01T00:00:00Z,Myctophids,-0.14968213,NA,NA
2019-01-01T00:00:00Z,Myctophids,-0.6473426,NA,NA
2020-01-01T00:00:00Z,Myctophids,-0.7457777,NA,NA
1990-01-01T00:00:00Z,Market squid,0.15313637,NA,NA
1991-01-01T00:00:00Z,Market squid,-0.50178766,NA,NA
1992-01-01T00:00:00Z,Market squid,1.1960473,NA,NA
1993-01-01T00:00:00Z,Market squid,-0.07504476,NA,NA
1994-01-01T00:00:00Z,Market squid,8.76092E-4,NA,NA
1995-01-01T00:00:00Z,Market squid,0.3747517,NA,NA
1996-01-01T00:00:00Z,Market squid,-0.599224,NA,NA
1997-01-01T00:00:00Z,Market squid,0.6000784,NA,NA
1998-01-01T00:00:00Z,Market squid,-1.4799706,NA,NA
1999-01-01T00:00:00Z,Market squid,-1.2562084,NA,NA
2000-01-01T00:00:00Z,Market squid,-0.23412998,NA,NA
2001-01-01T00:00:00Z,Market squid,0.75104445,NA,NA
2002-01-01T00:00:00Z,Market squid,0.5498626,NA,NA
2003-01-01T00:00:00Z,Market squid,-0.8251496,NA,NA
2004-01-01T00:00:00Z,Market squid,-0.44561765,NA,NA
2005-01-01T00:00:00Z,Market squid,-1.1381943,NA,NA
2006-01-01T00:00:00Z,Market squid,-1.5729007,NA,NA
2007-01-01T00:00:00Z,Market squid,-1.3543491,NA,NA
2008-01-01T00:00:00Z,Market squid,-1.2671709,NA,NA
2009-01-01T00:00:00Z,Market squid,-0.57956785,NA,NA
2010-01-01T00:00:00Z,Market squid,-0.5226356,NA,NA
2011-01-01T00:00:00Z,Market squid,-0.19965217,NA,NA
2012-01-01T00:00:00Z,Market squid,1.065645,NA,NA
2013-01-01T00:00:00Z,Market squid,1.2295678,NA,NA
2014-01-01T00:00:00Z,Market squid,1.9966831,NA,NA
2015-01-01T00:00:00Z,Market squid,1.6439914,NA,NA
2016-01-01T00:00:00Z,Market squid,-0.18499048,NA,NA
2017-01-01T00:00:00Z,Market squid,1.3787152,NA,NA
2018-01-01T00:00:00Z,Market squid,1.1079202,NA,NA
2019-01-01T00:00:00Z,Market squid,0.95563954,NA,NA
2020-01-01T00:00:00Z,Market squid,-0.76736504,NA,NA
1990-01-01T00:00:00Z,Krill,-0.0999042,NA,NA
1991-01-01T00:00:00Z,Krill,0.4407589,NA,NA
1992-01-01T00:00:00Z,Krill,-0.44844082,NA,NA
1993-01-01T00:00:00Z,Krill,0.48417586,NA,NA
1994-01-01T00:00:00Z,Krill,0.42140853,NA,NA
1995-01-01T00:00:00Z,Krill,-0.1219803,NA,NA
1996-01-01T00:00:00Z,Krill,-0.90048224,NA,NA
1997-01-01T00:00:00Z,Krill,-0.4702816,NA,NA
1998-01-01T00:00:00Z,Krill,-2.2045734,NA,NA
1999-01-01T00:00:00Z,Krill,-0.5012357,NA,NA
2000-01-01T00:00:00Z,Krill,0.5522882,NA,NA
2001-01-01T00:00:00Z,Krill,0.7848137,NA,NA
2002-01-01T00:00:00Z,Krill,-1.2460929,NA,NA
2003-01-01T00:00:00Z,Krill,0.010441084,NA,NA
2004-01-01T00:00:00Z,Krill,-0.49088925,NA,NA
2005-01-01T00:00:00Z,Krill,-0.6873595,NA,NA
2006-01-01T00:00:00Z,Krill,-0.32160434,NA,NA
2007-01-01T00:00:00Z,Krill,0.1965338,NA,NA
2008-01-01T00:00:00Z,Krill,1.5826567,NA,NA
2009-01-01T00:00:00Z,Krill,0.80328816,NA,NA
2010-01-01T00:00:00Z,Krill,0.57911044,NA,NA
2011-01-01T00:00:00Z,Krill,0.9407357,NA,NA
2012-01-01T00:00:00Z,Krill,1.1082417,NA,NA
2013-01-01T00:00:00Z,Krill,1.3596123,NA,NA
2014-01-01T00:00:00Z,Krill,1.1852223,NA,NA
2015-01-01T00:00:00Z,Krill,-0.89180773,NA,NA
2016-01-01T00:00:00Z,Krill,-0.4626864,NA,NA
2017-01-01T00:00:00Z,Krill,1.0745075,NA,NA
2018-01-01T00:00:00Z,Krill,1.0599614,NA,NA
2019-01-01T00:00:00Z,Krill,-2.4045055,NA,NA
2020-01-01T00:00:00Z,Krill,-1.3319125,NA,NA
1990-01-01T00:00:00Z,Octopus,-0.098314196,NA,NA
1991-01-01T00:00:00Z,Octopus,-0.32796165,NA,NA
1992-01-01T00:00:00Z,Octopus,-1.7052046,NA,NA
1993-01-01T00:00:00Z,Octopus,0.05136163,NA,NA
1994-01-01T00:00:00Z,Octopus,-0.11037027,NA,NA
1995-01-01T00:00:00Z,Octopus,0.13349079,NA,NA
1996-01-01T00:00:00Z,Octopus,-0.94057006,NA,NA
1997-01-01T00:00:00Z,Octopus,-0.29318616,NA,NA
1998-01-01T00:00:00Z,Octopus,-1.9527621,NA,NA
1999-01-01T00:00:00Z,Octopus,-1.442303,NA,NA
2000-01-01T00:00:00Z,Octopus,0.59842205,NA,NA
2001-01-01T00:00:00Z,Octopus,0.5334856,NA,NA
2002-01-01T00:00:00Z,Octopus,0.009230407,NA,NA
2003-01-01T00:00:00Z,Octopus,1.0895882,NA,NA
2004-01-01T00:00:00Z,Octopus,0.0323739,NA,NA
2005-01-01T00:00:00Z,Octopus,-1.8265059,NA,NA
2006-01-01T00:00:00Z,Octopus,-1.0682925,NA,NA
2007-01-01T00:00:00Z,Octopus,-0.97545224,NA,NA
2008-01-01T00:00:00Z,Octopus,-0.09172707,NA,NA
2009-01-01T00:00:00Z,Octopus,0.22318095,NA,NA
2010-01-01T00:00:00Z,Octopus,1.2784243,NA,NA
2011-01-01T00:00:00Z,Octopus,-0.2741971,NA,NA
2012-01-01T00:00:00Z,Octopus,0.018743247,NA,NA
2013-01-01T00:00:00Z,Octopus,1.4503257,NA,NA
2014-01-01T00:00:00Z,Octopus,1.6695616,NA,NA
2015-01-01T00:00:00Z,Octopus,1.0539591,NA,NA
2016-01-01T00:00:00Z,Octopus,1.8112803,NA,NA
2017-01-01T00:00:00Z,Octopus,0.90614086,NA,NA
2018-01-01T00:00:00Z,Octopus,0.82247895,NA,NA
2019-01-01T00:00:00Z,Octopus,-0.0587242,NA,NA
2020-01-01T00:00:00Z,Octopus,-0.51647663,NA,NA
