time,biomass_anomaly
2010-08-01T00:00:00Z,0.048
2010-09-01T00:00:00Z,-0.003
2010-10-01T00:00:00Z,0.103
2010-11-01T00:00:00Z,-0.202
2011-01-01T00:00:00Z,-0.036
2011-02-01T00:00:00Z,0.048
2011-03-01T00:00:00Z,-0.388
2011-04-01T00:00:00Z,-0.229
2011-05-01T00:00:00Z,-0.061
2011-06-01T00:00:00Z,-0.184
2011-07-01T00:00:00Z,-0.081
2011-08-01T00:00:00Z,-0.18
2011-09-01T00:00:00Z,-0.191
2011-10-01T00:00:00Z,0.008
2011-11-01T00:00:00Z,0.146
2011-12-01T00:00:00Z,-0.123
2012-01-01T00:00:00Z,0.048
2012-02-01T00:00:00Z,-0.011
2012-03-01T00:00:00Z,-0.095
2012-04-01T00:00:00Z,0.122
2012-05-01T00:00:00Z,-0.198
2012-06-01T00:00:00Z,-0.186
2012-07-01T00:00:00Z,-0.154
2012-08-01T00:00:00Z,-0.18
2012-09-01T00:00:00Z,-0.203
2012-10-01T00:00:00Z,-0.196
2012-11-01T00:00:00Z,0.299
2012-12-01T00:00:00Z,0.199
2013-01-01T00:00:00Z,0.255
2013-02-01T00:00:00Z,-0.116
2013-03-01T00:00:00Z,0.071
2013-04-01T00:00:00Z,-0.209
2013-05-01T00:00:00Z,-0.313
2013-06-01T00:00:00Z,-0.17
2013-07-01T00:00:00Z,-0.146
2013-08-01T00:00:00Z,-0.239
2013-09-01T00:00:00Z,-0.133
2013-10-01T00:00:00Z,0.147
2013-11-01T00:00:00Z,-0.143
2013-12-01T00:00:00Z,0.174
2014-01-01T00:00:00Z,-0.606
2014-02-01T00:00:00Z,-0.379
2014-04-01T00:00:00Z,-0.278
2014-05-01T00:00:00Z,0.093
2014-06-01T00:00:00Z,-0.161
2014-07-01T00:00:00Z,-0.099
2014-08-01T00:00:00Z,-0.095
2014-09-01T00:00:00Z,0.18
2014-10-01T00:00:00Z,0.592
2014-11-01T00:00:00Z,0.403
