time,flow_anomaly_7_day_min,Seup,Selo,location
2009-01-01T00:00:00Z,0.26673275,0.60011894,-0.065138236,Upper Willamette River
2010-01-01T00:00:00Z,0.75127065,1.0829047,0.4197099,Upper Willamette River
2011-01-01T00:00:00Z,0.9338123,1.2652674,0.6016621,Upper Willamette River
2012-01-01T00:00:00Z,0.8638946,1.1958518,0.53224564,Upper Willamette River
2013-01-01T00:00:00Z,0.72626626,1.057451,0.39391673,Upper Willamette River
2014-01-01T00:00:00Z,0.89140266,1.2236259,0.55552834,Upper Willamette River
2015-01-01T00:00:00Z,-0.35794464,-0.026334088,-0.6907819,Upper Willamette River
2016-01-01T00:00:00Z,-0.13886446,0.19287011,-0.47277972,Upper Willamette River
2017-01-01T00:00:00Z,0.3994384,0.73067343,0.06722366,Upper Willamette River
2018-01-01T00:00:00Z,0.14832692,0.47984836,-0.18341504,Upper Willamette River
1981-01-01T00:00:00Z,-0.42248347,-0.059967004,-0.78537667,Oregon Coast
1982-01-01T00:00:00Z,0.061561245,0.4230789,-0.30028093,Oregon Coast
1983-01-01T00:00:00Z,2.4494271,2.8153546,2.0828173,Oregon Coast
1984-01-01T00:00:00Z,1.3897642,1.7538666,1.0251806,Oregon Coast
1985-01-01T00:00:00Z,0.42812955,0.79110056,0.064764,Oregon Coast
1986-01-01T00:00:00Z,-0.2770344,0.0845501,-0.6389475,Oregon Coast
1987-01-01T00:00:00Z,-0.48765063,-0.12616318,-0.8494548,Oregon Coast
1988-01-01T00:00:00Z,-0.8862952,-0.52441275,-1.2484744,Oregon Coast
1989-01-01T00:00:00Z,-0.31441996,0.047263972,-0.67640877,Oregon Coast
1990-01-01T00:00:00Z,-0.020742401,0.34079373,-0.38259202,Oregon Coast
1991-01-01T00:00:00Z,-0.24938819,0.11234738,-0.61142683,Oregon Coast
1992-01-01T00:00:00Z,-1.0286977,-0.66708994,-1.3906139,Oregon Coast
1993-01-01T00:00:00Z,-0.28681186,0.0746987,-0.6486385,Oregon Coast
1994-01-01T00:00:00Z,-0.7286988,-0.36714673,-1.090576,Oregon Coast
1995-01-01T00:00:00Z,-0.57009757,-0.20832452,-0.9321735,Oregon Coast
1996-01-01T00:00:00Z,1.0968058,1.4583797,0.7349056,Oregon Coast
1997-01-01T00:00:00Z,1.1157489,1.4775864,0.7535688,Oregon Coast
1998-01-01T00:00:00Z,0.8248729,1.1893468,0.46028724,Oregon Coast
1999-01-01T00:00:00Z,0.6400706,1.0026916,0.2771966,Oregon Coast
2000-01-01T00:00:00Z,-0.059422035,0.30330393,-0.42239186,Oregon Coast
2001-01-01T00:00:00Z,-0.54057705,-0.17670219,-0.9049445,Oregon Coast
2002-01-01T00:00:00Z,-0.7918368,-0.43012756,-1.1538806,Oregon Coast
2003-01-01T00:00:00Z,-0.7715025,-0.40963677,-1.1336647,Oregon Coast
2004-01-01T00:00:00Z,-0.16461259,0.19693077,-0.52648187,Oregon Coast
2005-01-01T00:00:00Z,-0.18588264,0.17576364,-0.54785913,Oregon Coast
2006-01-01T00:00:00Z,-0.22220184,0.13958055,-0.58428466,Oregon Coast
2007-01-01T00:00:00Z,-0.26232472,0.09936162,-0.62431633,Oregon Coast
2008-01-01T00:00:00Z,0.515558,0.8772897,0.15349129,Oregon Coast
2009-01-01T00:00:00Z,-0.28119296,0.0804737,-0.6431919,Oregon Coast
2010-01-01T00:00:00Z,0.057444647,0.41897196,-0.3043954,Oregon Coast
2011-01-01T00:00:00Z,0.8346975,1.1969174,0.47219548,Oregon Coast
2012-01-01T00:00:00Z,0.5088966,0.8704037,0.14707266,Oregon Coast
2013-01-01T00:00:00Z,-0.07876858,0.28299007,-0.4408293,Oregon Coast
2014-01-01T00:00:00Z,-0.3525207,0.009375478,-0.71476024,Oregon Coast
2015-01-01T00:00:00Z,-0.8909471,-0.5293082,-1.2528932,Oregon Coast
2016-01-01T00:00:00Z,-0.5829411,-0.22145455,-0.9447445,Oregon Coast
2017-01-01T00:00:00Z,1.0015881,1.3646883,0.63825655,Oregon Coast
2018-01-01T00:00:00Z,-0.46751425,-0.10590113,-0.8294354,Oregon Coast
1981-01-01T00:00:00Z,0.047524706,0.33242542,-0.23841318,Puget Sound
1982-01-01T00:00:00Z,0.78089964,1.0673089,0.49544546,Puget Sound
1983-01-01T00:00:00Z,1.2570308,1.5427336,0.9689983,Puget Sound
1984-01-01T00:00:00Z,0.17222424,0.45962748,-0.11763359,Puget Sound
1985-01-01T00:00:00Z,0.0061811,0.29099554,-0.27929828,Puget Sound
1986-01-01T00:00:00Z,-0.28453732,4.91599E-4,-0.5696356,Puget Sound
1987-01-01T00:00:00Z,-0.84926885,-0.5639783,-1.1345031,Puget Sound
1988-01-01T00:00:00Z,-1.2121058,-0.9271901,-1.4976093,Puget Sound
1989-01-01T00:00:00Z,-0.1200379,0.16579902,-0.40529224,Puget Sound
1990-01-01T00:00:00Z,-0.46193475,-0.17702746,-0.747181,Puget Sound
1991-01-01T00:00:00Z,0.7898928,1.07966,0.50241655,Puget Sound
1992-01-01T00:00:00Z,-0.6166959,-0.3311117,-0.90171343,Puget Sound
1993-01-01T00:00:00Z,-0.33071002,-0.045251075,-0.6183923,Puget Sound
1994-01-01T00:00:00Z,-0.5057438,-0.22061186,-0.7910983,Puget Sound
1995-01-01T00:00:00Z,-0.7725293,-0.48770788,-1.0581361,Puget Sound
1996-01-01T00:00:00Z,0.48685753,0.77251387,0.20184886,Puget Sound
1997-01-01T00:00:00Z,1.1764296,1.4628291,0.8912148,Puget Sound
1998-01-01T00:00:00Z,-0.09225345,0.19299509,-0.3772886,Puget Sound
1999-01-01T00:00:00Z,0.34475467,0.6306948,0.058797937,Puget Sound
2000-01-01T00:00:00Z,0.52832186,0.8154163,0.24284919,Puget Sound
2001-01-01T00:00:00Z,-0.19152705,0.09339045,-0.47683802,Puget Sound
2002-01-01T00:00:00Z,-0.14220448,0.1428993,-0.4284904,Puget Sound
2003-01-01T00:00:00Z,-1.0859438,-0.80083716,-1.3709986,Puget Sound
