time,sti,latitude
2010-01-01T00:00:00Z,62.0,39
2011-01-01T00:00:00Z,2.0,39
2012-01-01T00:00:00Z,41.0,39
2013-01-01T00:00:00Z,5.0,39
2014-01-01T00:00:00Z,68.0,39
2015-01-01T00:00:00Z,40.0,39
2016-01-01T00:00:00Z,73.0,39
2017-01-01T00:00:00Z,85.0,39
2018-01-01T00:00:00Z,28.0,39
2019-01-01T00:00:00Z,46.0,39
2020-01-01T00:00:00Z,28.0,39
1967-01-01T00:00:00Z,83.0,42
1968-01-01T00:00:00Z,85.0,42
1969-01-01T00:00:00Z,98.0,42
1970-01-01T00:00:00Z,73.0,42
1971-01-01T00:00:00Z,103.0,42
1972-01-01T00:00:00Z,103.0,42
1973-01-01T00:00:00Z,66.0,42
1974-01-01T00:00:00Z,98.0,42
1975-01-01T00:00:00Z,83.0,42
1976-01-01T00:00:00Z,102.0,42
1977-01-01T00:00:00Z,74.0,42
1978-01-01T00:00:00Z,67.0,42
1979-01-01T00:00:00Z,65.0,42
1980-01-01T00:00:00Z,77.0,42
1981-01-01T00:00:00Z,84.0,42
1982-01-01T00:00:00Z,105.0,42
1983-01-01T00:00:00Z,92.0,42
1984-01-01T00:00:00Z,112.0,42
1985-01-01T00:00:00Z,45.0,42
1986-01-01T00:00:00Z,86.0,42
1987-01-01T00:00:00Z,73.0,42
1988-01-01T00:00:00Z,29.0,42
1989-01-01T00:00:00Z,95.0,42
1990-01-01T00:00:00Z,79.0,42
1991-01-01T00:00:00Z,71.0,42
1992-01-01T00:00:00Z,120.0,42
1993-01-01T00:00:00Z,155.0,42
1994-01-01T00:00:00Z,63.0,42
1995-01-01T00:00:00Z,101.0,42
1996-01-01T00:00:00Z,116.0,42
1997-01-01T00:00:00Z,78.0,42
1998-01-01T00:00:00Z,72.0,42
1999-01-01T00:00:00Z,89.0,42
2000-01-01T00:00:00Z,74.0,42
2001-01-01T00:00:00Z,65.0,42
2002-01-01T00:00:00Z,82.0,42
2003-01-01T00:00:00Z,106.0,42
2004-01-01T00:00:00Z,61.0,42
