time,population,abundance_anomaly
2016-01-01T00:00:00Z,Central Valley Fall,-0.88835835
2017-01-01T00:00:00Z,Central Valley Fall,-1.1696992
2018-01-01T00:00:00Z,Central Valley Fall,-0.7921422
2019-01-01T00:00:00Z,Central Valley Fall,-0.44503343
1995-01-01T00:00:00Z,Central Valley Spr,0.57185906
1996-01-01T00:00:00Z,Central Valley Spr,-0.3797655
1997-01-01T00:00:00Z,Central Valley Spr,-0.9469693
1998-01-01T00:00:00Z,Central Valley Spr,3.0215871
1999-01-01T00:00:00Z,Central Valley Spr,-0.20321555
2000-01-01T00:00:00Z,Central Valley Spr,-0.30247623
2001-01-01T00:00:00Z,Central Valley Spr,0.8923915
2002-01-01T00:00:00Z,Central Valley Spr,0.9473978
2003-01-01T00:00:00Z,Central Valley Spr,1.0204798
2004-01-01T00:00:00Z,Central Valley Spr,0.3848688
2005-01-01T00:00:00Z,Central Valley Spr,0.7719386
2006-01-01T00:00:00Z,Central Valley Spr,-0.03024957
2007-01-01T00:00:00Z,Central Valley Spr,-0.22674516
2008-01-01T00:00:00Z,Central Valley Spr,-0.743929
2009-01-01T00:00:00Z,Central Valley Spr,-1.1439323
2010-01-01T00:00:00Z,Central Valley Spr,-1.1453348
2011-01-01T00:00:00Z,Central Valley Spr,-0.9519557
2012-01-01T00:00:00Z,Central Valley Spr,0.5581464
2013-01-01T00:00:00Z,Central Valley Spr,1.1284667
2014-01-01T00:00:00Z,Central Valley Spr,-0.42199415
2015-01-01T00:00:00Z,Central Valley Spr,-0.7782106
2016-01-01T00:00:00Z,Central Valley Spr,-0.67178196
2017-01-01T00:00:00Z,Central Valley Spr,-1.3913828
2018-01-01T00:00:00Z,Central Valley Spr,0.04080673
2019-01-01T00:00:00Z,Central Valley Spr,0.8724459
1971-01-01T00:00:00Z,Central Valley Late,0.6646486
1972-01-01T00:00:00Z,Central Valley Late,2.12612
1973-01-01T00:00:00Z,Central Valley Late,1.1628984
1974-01-01T00:00:00Z,Central Valley Late,-0.6260427
